actor,gender,film,director,year,maleactors,femaleactors
Walter Perez,m,Queen Sugar,Ava DuVernay,2016,27,23
Walter Perez,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Walter Perez,m,Off the Map,Donna Deitch,2011,30,20
Walter Perez,m,Queen Sugar,Patricia Cardoso,2016,27,23
Walter Perez,m,Friends with Money,Nicole Holofcener,2006,25,20
Greg Vaughan,m,Queen Sugar,Julie Dash,2016,27,23
Greg Vaughan,m,Queen Sugar,Ava DuVernay,2016,27,23
Greg Vaughan,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Greg Vaughan,m,Queen Sugar,Patricia Cardoso,2016,27,23
Lea Coco,m,Queen Sugar,Julie Dash,2016,27,23
Lea Coco,m,Queen Sugar,Ava DuVernay,2016,27,23
Lea Coco,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Lea Coco,m,Queen Sugar,Patricia Cardoso,2016,27,23
Marycarmen Lopez,f,Queen Sugar,Julie Dash,2016,27,23
Marycarmen Lopez,f,Queen Sugar,Ava DuVernay,2016,27,23
Marycarmen Lopez,f,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Marycarmen Lopez,f,Queen Sugar,Patricia Cardoso,2016,27,23
David Jensen,m,Queen Sugar,Julie Dash,2016,27,23
David Jensen,m,Queen Sugar,Ava DuVernay,2016,27,23
David Jensen,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
David Jensen,m,Mudbound,Dee Rees,2017,34,16
David Jensen,m,Queen Sugar,Patricia Cardoso,2016,27,23
Nikko Austen Smith,f,Queen Sugar,Julie Dash,2016,27,23
Nikko Austen Smith,f,Queen Sugar,Ava DuVernay,2016,27,23
Nikko Austen Smith,f,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Nikko Austen Smith,f,Queen Sugar,Patricia Cardoso,2016,27,23
Myron Parker Wright,m,Queen Sugar,Julie Dash,2016,27,23
Myron Parker Wright,m,Queen Sugar,Ava DuVernay,2016,27,23
Myron Parker Wright,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Myron Parker Wright,m,Queen Sugar,Patricia Cardoso,2016,27,23
Stevonte Hart,m,Queen Sugar,Julie Dash,2016,27,23
Stevonte Hart,m,Queen Sugar,Ava DuVernay,2016,27,23
Stevonte Hart,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Stevonte Hart,m,Queen Sugar,Patricia Cardoso,2016,27,23
Andrea Myles,f,Queen Sugar,Julie Dash,2016,27,23
Andrea Myles,f,Queen Sugar,Ava DuVernay,2016,27,23
Andrea Myles,f,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Andrea Myles,f,Queen Sugar,Patricia Cardoso,2016,27,23
Myles Truitt,m,Queen Sugar,Julie Dash,2016,27,23
Myles Truitt,m,Queen Sugar,Ava DuVernay,2016,27,23
Myles Truitt,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Myles Truitt,m,Queen Sugar,Patricia Cardoso,2016,27,23
Troy Anthony Hogan,m,Queen Sugar,Julie Dash,2016,27,23
Troy Anthony Hogan,m,Queen Sugar,Ava DuVernay,2016,27,23
Troy Anthony Hogan,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Troy Anthony Hogan,m,Queen Sugar,Patricia Cardoso,2016,27,23
Jaren Mitchell,m,Queen Sugar,Julie Dash,2016,27,23
Jaren Mitchell,m,Queen Sugar,Ava DuVernay,2016,27,23
Jaren Mitchell,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Jaren Mitchell,m,Queen Sugar,Patricia Cardoso,2016,27,23
Annalee Jefferies,f,Queen Sugar,Julie Dash,2016,27,23
Annalee Jefferies,f,Queen Sugar,Ava DuVernay,2016,27,23
Annalee Jefferies,f,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Annalee Jefferies,f,Queen Sugar,Patricia Cardoso,2016,27,23
Alimi Ballard,m,Queen Sugar,Julie Dash,2016,27,23
Alimi Ballard,m,Queen Sugar,Ava DuVernay,2016,27,23
Alimi Ballard,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Alimi Ballard,m,Queen Sugar,Patricia Cardoso,2016,27,23
Erica Tazel,f,Queen Sugar,Julie Dash,2016,27,23
Erica Tazel,f,Queen Sugar,Ava DuVernay,2016,27,23
Erica Tazel,f,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Erica Tazel,f,Queen Sugar,Patricia Cardoso,2016,27,23
Erica Tazel,f,The Night Shift,Martha Coolidge,2014,27,23
Deja Dee,f,Queen Sugar,Julie Dash,2016,27,23
Deja Dee,f,Queen Sugar,Ava DuVernay,2016,27,23
Deja Dee,f,Star,Cheryl Dunye,2016,26,24
Deja Dee,f,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Deja Dee,f,Queen Sugar,Patricia Cardoso,2016,27,23
Isaac White,m,Queen Sugar,Julie Dash,2016,27,23
Isaac White,m,Queen Sugar,Ava DuVernay,2016,27,23
Isaac White,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Isaac White,m,Queen Sugar,Patricia Cardoso,2016,27,23
Ninja N. Devoe,f,Queen Sugar,Julie Dash,2016,27,23
Ninja N. Devoe,f,Queen Sugar,Ava DuVernay,2016,27,23
Ninja N. Devoe,f,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Ninja N. Devoe,f,Luke Cage,Kasi Lemmons,2016,33,17
Ninja N. Devoe,f,Queen Sugar,Patricia Cardoso,2016,27,23
Reagan Gomez-Preston,f,Queen Sugar,Julie Dash,2016,27,23
Reagan Gomez-Preston,f,Queen Sugar,Ava DuVernay,2016,27,23
Reagan Gomez-Preston,f,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Reagan Gomez-Preston,f,Queen Sugar,Patricia Cardoso,2016,27,23
Vivien Ngô,f,Queen Sugar,Julie Dash,2016,27,23
Vivien Ngô,f,Queen Sugar,Ava DuVernay,2016,27,23
Vivien Ngô,f,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Vivien Ngô,f,Queen Sugar,Patricia Cardoso,2016,27,23
Nicoye Banks,m,Queen Sugar,Julie Dash,2016,27,23
Nicoye Banks,m,Queen Sugar,Ava DuVernay,2016,27,23
Nicoye Banks,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Nicoye Banks,m,Queen Sugar,Patricia Cardoso,2016,27,23
Dominic 'Taz' Alexander,m,Queen Sugar,Julie Dash,2016,27,23
Dominic 'Taz' Alexander,m,Queen Sugar,Ava DuVernay,2016,27,23
Dominic 'Taz' Alexander,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Dominic 'Taz' Alexander,m,Queen Sugar,Patricia Cardoso,2016,27,23
Jacinto Rodriguez,m,Queen Sugar,Julie Dash,2016,27,23
Jacinto Rodriguez,m,Queen Sugar,Ava DuVernay,2016,27,23
Jacinto Rodriguez,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Jacinto Rodriguez,m,Queen Sugar,Patricia Cardoso,2016,27,23
David Maldonado,m,Queen Sugar,Julie Dash,2016,27,23
David Maldonado,m,Queen Sugar,Ava DuVernay,2016,27,23
David Maldonado,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
David Maldonado,m,Queen Sugar,Patricia Cardoso,2016,27,23
Rhonda Johnson Dents,f,Queen Sugar,Julie Dash,2016,27,23
Rhonda Johnson Dents,f,Queen Sugar,Ava DuVernay,2016,27,23
Rhonda Johnson Dents,f,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Rhonda Johnson Dents,f,Galveston,Mélanie Laurent,2018,35,15
Rhonda Johnson Dents,f,Queen Sugar,Patricia Cardoso,2016,27,23
Rhonda Johnson Dents,f,One Mississippi (2015-2016),Nicole Holofcener,2015,23,27
Maritza Guerrero,f,Queen Sugar,Julie Dash,2016,27,23
Maritza Guerrero,f,Queen Sugar,Ava DuVernay,2016,27,23
Maritza Guerrero,f,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Maritza Guerrero,f,Queen Sugar,Patricia Cardoso,2016,27,23
Heather Kafka,f,Queen Sugar,Julie Dash,2016,27,23
Heather Kafka,f,Queen Sugar,Ava DuVernay,2016,27,23
Heather Kafka,f,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Heather Kafka,f,Queen Sugar,Patricia Cardoso,2016,27,23
Heather Kafka,f,Huff,Martha Coolidge,2004,25,25
Estrella Nouri,f,Queen Sugar,Julie Dash,2016,27,23
Estrella Nouri,f,Queen Sugar,Ava DuVernay,2016,27,23
Estrella Nouri,f,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Estrella Nouri,f,Queen Sugar,Patricia Cardoso,2016,27,23
Don Yesso,m,Queen Sugar,Julie Dash,2016,27,23
Don Yesso,m,Queen Sugar,Ava DuVernay,2016,27,23
Don Yesso,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Don Yesso,m,Queen Sugar,Patricia Cardoso,2016,27,23
Joshua Rivera,m,Queen Sugar,Julie Dash,2016,27,23
Joshua Rivera,m,Queen Sugar,Ava DuVernay,2016,27,23
Joshua Rivera,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Joshua Rivera,m,Queen Sugar,Patricia Cardoso,2016,27,23
Laura Cayouette,f,Queen Sugar,Julie Dash,2016,27,23
Laura Cayouette,f,Queen Sugar,Ava DuVernay,2016,27,23
Laura Cayouette,f,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Laura Cayouette,f,Queen Sugar,Patricia Cardoso,2016,27,23
Adam Vernier,m,Queen Sugar,Julie Dash,2016,27,23
Adam Vernier,m,Queen Sugar,Ava DuVernay,2016,27,23
Adam Vernier,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Adam Vernier,m,Queen Sugar,Patricia Cardoso,2016,27,23
Bryan Terrell Clark,m,Queen Sugar,Julie Dash,2016,27,23
Bryan Terrell Clark,m,Queen Sugar,Ava DuVernay,2016,27,23
Bryan Terrell Clark,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Bryan Terrell Clark,m,Queen Sugar,Patricia Cardoso,2016,27,23
Ginnie Randall,f,Queen Sugar,Julie Dash,2016,27,23
Ginnie Randall,f,The Rosa Parks Story,Julie Dash,2002,26,26
Ginnie Randall,f,Queen Sugar,Ava DuVernay,2016,27,23
Ginnie Randall,f,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Ginnie Randall,f,Queen Sugar,Patricia Cardoso,2016,27,23
Tony Winters,m,Queen Sugar,Julie Dash,2016,27,23
Tony Winters,m,Queen Sugar,Ava DuVernay,2016,27,23
Tony Winters,m,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Tony Winters,m,Queen Sugar,Patricia Cardoso,2016,27,23
Kj Smith,f,Queen Sugar,Julie Dash,2016,27,23
Kj Smith,f,Queen Sugar,Ava DuVernay,2016,27,23
Kj Smith,f,Queen Sugar (2017-2019),Cheryl Dunye,2016,27,23
Kj Smith,f,Queen Sugar,Patricia Cardoso,2016,27,23
Lonette McKee,f,Illusions,Julie Dash,1982,9,7
Lonette McKee,f,The Women of Brewster Place,Donna Deitch,1989,20,28
Rosanne Katon,f,Illusions,Julie Dash,1982,9,7
Rosanne Katon,f,The City Girl,Martha Coolidge,1984,9,11
Ned Bellamy,m,Illusions,Julie Dash,1982,9,7
Ned Bellamy,m,Wild Palms,Kathryn Bigelow,1993,25,13
Ned Bellamy,m,Twilight,Catherine Hardwick,2008,32,17
Ned Bellamy,m,Lords of Dogtown,Catherine Hardwick,2005,79,27
Jack Rader,m,Illusions,Julie Dash,1982,9,7
Jack Lundi Faust,m,Illusions,Julie Dash,1982,9,7
Lisa Henke,f,Illusions,Julie Dash,1982,9,7
Laddy Ashley,f,Illusions,Julie Dash,1982,9,7
Rita Crafts,f,Illusions,Julie Dash,1982,9,7
Sandy Brooke,f,Illusions,Julie Dash,1982,9,7
Johnny Crear,m,Illusions,Julie Dash,1982,9,7
John Childers,m,Illusions,Julie Dash,1982,9,7
John MacBride,m,Illusions,Julie Dash,1982,9,7
Gaye Kruger,f,Illusions,Julie Dash,1982,9,7
Oliver Woodall,m,Illusions,Julie Dash,1982,9,7
Joseph T. McKenna,m,Illusions,Julie Dash,1982,9,7
John Lefebvre,m,Illusions,Julie Dash,1982,9,7
Loretta Devine,f,Funny Valentines,Julie Dash,1999,13,17
Loretta Devine,f,The Preacher's Wife,Penny Marshall,1996,61,45
Loretta Devine,f,Grey's Anatomy,Donna Deitch,2005,22,28
Loretta Devine,f,Wild Card,Donna Deitch,2003,28,22
Loretta Devine,f,What Women Want,Nancy Meyers,2000,25,91
CCH Pounder,f,Funny Valentines,Julie Dash,1999,13,17
CCH Pounder,f,Robin's Hoods,Donna Deitch,1994,30,20
CCH Pounder,f,Disappearing Acts,Gina Prince-Bythewood,2000,33,25
CCH Pounder,f,Things Behind the Sun,Allison Anders,2001,26,16
CCH Pounder,f,Birdland,Claudia Weill,1994,29,14
Tom Wright,m,Funny Valentines,Julie Dash,1999,13,17
Tom Wright,m,Beyond the Lights,Gina Prince-Bythewood,2014,40,35
Tom Wright,m,Johnny Bull,Claudia Weill,1986,8,5
Peter Jay Fernandez,m,Funny Valentines,Julie Dash,1999,13,17
Peter Jay Fernandez,m,Luke Cage,Kasi Lemmons,2016,33,17
Kajuana S. Marie,f,Funny Valentines,Julie Dash,1999,13,17
Denise Burse,f,Funny Valentines,Julie Dash,1999,13,17
Chris Dunn,m,Funny Valentines,Julie Dash,1999,13,17
Debra Terry,f,Funny Valentines,Julie Dash,1999,13,17
Von Coulter,m,Funny Valentines,Julie Dash,1999,13,17
Von Coulter,m,The Rosa Parks Story,Julie Dash,2002,26,26
Von Coulter,m,The Wonderful World of Disney,Euzhan Palcy,1995,39,11
Afemo Omilami,m,Funny Valentines,Julie Dash,1999,13,17
Afemo Omilami,m,The Rosa Parks Story,Julie Dash,2002,26,26
Christopher Ryan Dunn,m,Funny Valentines,Julie Dash,1999,13,17
Ruth Beckford,f,Funny Valentines,Julie Dash,1999,13,17
Saycon Sengbloh,f,Funny Valentines,Julie Dash,1999,13,17
Saycon Sengbloh,f,In the Dark,Patricia Cardoso,2019,27,23
Kiara Tucker,f,Funny Valentines,Julie Dash,1999,13,17
Chandler Parker,m,Funny Valentines,Julie Dash,1999,13,17
Leonard McLeod,m,Funny Valentines,Julie Dash,1999,13,17
Marty Terry,f,Funny Valentines,Julie Dash,1999,13,17
Rico Fleming,m,Funny Valentines,Julie Dash,1999,13,17
Beverly Skinner,f,Funny Valentines,Julie Dash,1999,13,17
Elizabeth Omilami,f,Funny Valentines,Julie Dash,1999,13,17
Elizabeth Omilami,f,The Rosa Parks Story,Julie Dash,2002,26,26
Cle Thompson,f,Funny Valentines,Julie Dash,1999,13,17
Yolanda King,f,Funny Valentines,Julie Dash,1999,13,17
Leland L. Jones,m,Funny Valentines,Julie Dash,1999,13,17
Barbara Huber,f,Funny Valentines,Julie Dash,1999,13,17
Michael Harding,m,Funny Valentines,Julie Dash,1999,13,17
Michael Harding,m,Reckless,Catherine Hardwick,2014,31,19
Suellen Yates,f,Funny Valentines,Julie Dash,1999,13,17
Coel Lee Hansley,m,Funny Valentines,Julie Dash,1999,13,17
David F. Maxwell,m,Funny Valentines,Julie Dash,1999,13,17
Peter Francis James,m,The Rosa Parks Story,Julie Dash,2002,26,26
Peter Francis James,m,Love Song,Julie Dash,2000,9,12
Tonea Stewart,f,The Rosa Parks Story,Julie Dash,2002,26,26
Dexter King,m,The Rosa Parks Story,Julie Dash,2002,26,26
Sonny Shroyer,m,The Rosa Parks Story,Julie Dash,2002,26,26
Mike Pniewski,m,The Rosa Parks Story,Julie Dash,2002,26,26
Mike Pniewski,m,Second Noah,Donna Deitch,1996,30,20
Mike Pniewski,m,Shots Fired,Gina Prince-Bythewood,2017,35,15
Mike Pniewski,m,Halt and Catch Fire (2014-2017),Karyn Kusama,2014,32,18
Mike Pniewski,m,Shots Fired,Kasi Lemmons,2017,35,15
Mike Pniewski,m,Reckless,Catherine Hardwick,2014,31,19
Mike Pniewski,m,Halt and Catch Fire (2015-2016),Kimberly Peirce,2014,32,18
Mike Pniewski,m,Madam Secretary,Martha Coolidge,2014,29,21
Mike Pniewski,m,Drop Dead Diva,Martha Coolidge,2009,28,22
Chardé Manzy,f,The Rosa Parks Story,Julie Dash,2002,26,26
Charles Black,m,The Rosa Parks Story,Julie Dash,2002,26,26
Charles Black,m,Selma,Ava DuVernay,2014,95,43
Nick LaTour,m,The Rosa Parks Story,Julie Dash,2002,26,26
Susan McConnell,f,The Rosa Parks Story,Julie Dash,2002,26,26
Timothy Parham,m,The Rosa Parks Story,Julie Dash,2002,26,26
Gwen Waymon,f,The Rosa Parks Story,Julie Dash,2002,26,26
Susan Williams,f,The Rosa Parks Story,Julie Dash,2002,26,26
Susan Williams,f,The Outsider,Karyn Kusama,2020,30,20
Susan Williams,f,Game of Silence,Kimberly Peirce,2016,30,20
Stephanie Astalos-Jones,f,The Rosa Parks Story,Julie Dash,2002,26,26
Patsy Benson,f,The Rosa Parks Story,Julie Dash,2002,26,26
George Caldwell,m,The Rosa Parks Story,Julie Dash,2002,26,26
Johnnie Carr,f,The Rosa Parks Story,Julie Dash,2002,26,26
Ron Clinton Smith,m,The Rosa Parks Story,Julie Dash,2002,26,26
Janelle Cochrane,f,The Rosa Parks Story,Julie Dash,2002,26,26
Polly Craig,f,The Rosa Parks Story,Julie Dash,2002,26,26
Helen Ingebritsen,f,The Rosa Parks Story,Julie Dash,2002,26,26
Johnny Ford,m,The Rosa Parks Story,Julie Dash,2002,26,26
Robert Fulton,m,The Rosa Parks Story,Julie Dash,2002,26,26
Jeff Gale,m,The Rosa Parks Story,Julie Dash,2002,26,26
Charlie Hudson III,m,The Rosa Parks Story,Julie Dash,2002,26,26
Jeana Joganic,f,The Rosa Parks Story,Julie Dash,2002,26,26
Tori Jones,f,The Rosa Parks Story,Julie Dash,2002,26,26
Martha B. Knighton,f,The Rosa Parks Story,Julie Dash,2002,26,26
Horace Lamar III,m,The Rosa Parks Story,Julie Dash,2002,26,26
Kenny Leon,m,The Rosa Parks Story,Julie Dash,2002,26,26
Ronald McCall,m,The Rosa Parks Story,Julie Dash,2002,26,26
Chris Mixon,m,The Rosa Parks Story,Julie Dash,2002,26,26
Paige Morgan Johnson,f,The Rosa Parks Story,Julie Dash,2002,26,26
Robert Paisley,m,The Rosa Parks Story,Julie Dash,2002,26,26
Carl Pittman,m,The Rosa Parks Story,Julie Dash,2002,26,26
Latoya Simone-Howell,f,The Rosa Parks Story,Julie Dash,2002,26,26
Chinera Smith,f,The Rosa Parks Story,Julie Dash,2002,26,26
Anthony Sweeting,m,The Rosa Parks Story,Julie Dash,2002,26,26
Slayton Jefferson Underwood,m,The Rosa Parks Story,Julie Dash,2002,26,26
Pacey Liz Walker,f,The Rosa Parks Story,Julie Dash,2002,26,26
Chalethia Williams,f,The Rosa Parks Story,Julie Dash,2002,26,26
Wesley Yates,m,The Rosa Parks Story,Julie Dash,2002,26,26
Teria Birlon,f,The Rosa Parks Story,Julie Dash,2002,26,26
Jamale Ellison,m,The Rosa Parks Story,Julie Dash,2002,26,26
Rosa Parks,f,The Rosa Parks Story,Julie Dash,2002,26,26
Monica,f,Love Song,Julie Dash,2000,9,12
Monica,f,TV One Night Only: Live from the Essence Music Festival,Ava DuVernay,2010,10,14
Christian Kane,m,Love Song,Julie Dash,2000,9,12
Christian Kane,m,The Crooked E: The Unshredded Truth About Enron,Penelope Spheeris,2003,29,10
Essence Atkins,f,Love Song,Julie Dash,2000,9,12
Vanessa Bell Calloway,f,Love Song,Julie Dash,2000,9,12
Vanessa Bell Calloway,f,Harriet,Kasi Lemmons,2019,70,29
Vanessa Bell Calloway,f,Unbelievable,Lisa Cholodenko,2019,26,24
Teck Holmes,m,Love Song,Julie Dash,2000,9,12
Rozonda 'Chilli' Thomas,f,Love Song,Julie Dash,2000,9,12
Tyrese Gibson,m,Love Song,Julie Dash,2000,9,12
Tyrese Gibson,m,Star,Cheryl Dunye,2016,26,24
Tyrese Gibson,m,Black Nativity,Kasi Lemmons,2013,56,36
Rachel True,f,Love Song,Julie Dash,2000,9,12
Rachel True,f,Once and Again (1999-2001),Claudia Weill,1999,26,24
Philip Cole,m,Love Song,Julie Dash,2000,9,12
Suzanne Coy,f,Love Song,Julie Dash,2000,9,12
Cecile Cristobal,f,Love Song,Julie Dash,2000,9,12
Nikita Dougan,f,Love Song,Julie Dash,2000,9,12
Sarah Francis,f,Love Song,Julie Dash,2000,9,12
Rainbow Sun Francks,m,Love Song,Julie Dash,2000,9,12
Rainbow Sun Francks,m,Eyewitness,Catherine Hardwick,2016,30,20
Elisha Fraser,f,Love Song,Julie Dash,2000,9,12
Don Jordan,m,Love Song,Julie Dash,2000,9,12
Michelle Sweeney,f,Love Song,Julie Dash,2000,9,12
Dallas Austin,m,Love Song,Julie Dash,2000,9,12
Jowanna Lévesque,f,Love Song,Julie Dash,2000,9,12
Devyne Stephens,m,Love Song,Julie Dash,2000,9,12
Elisa M. Rothstein,f,Women: Stories of Passion,Julie Dash,1996,23,27
Tony Ervolina,m,Women: Stories of Passion,Julie Dash,1996,23,27
Claude Knowlton,m,Women: Stories of Passion,Julie Dash,1996,23,27
Michael Jay,m,Women: Stories of Passion,Julie Dash,1996,23,27
Steve Hom,m,Women: Stories of Passion,Julie Dash,1996,23,27
Peter Gregory,m,Women: Stories of Passion,Julie Dash,1996,23,27
Brad Bartram,m,Women: Stories of Passion,Julie Dash,1996,23,27
Colleen McDermott,f,Women: Stories of Passion,Julie Dash,1996,23,27
Jesus Nebot,m,Women: Stories of Passion,Julie Dash,1996,23,27
Anneliza Scott,f,Women: Stories of Passion,Julie Dash,1996,23,27
Deborah Offner,f,Women: Stories of Passion,Julie Dash,1996,23,27
Deborah Offner,f,Once a Hero,Claudia Weill,1987,29,10
Deborah Offner,f,Crossing Delancey,Joan Micklin Silver,1988,31,34
Judith Baldwin,f,Women: Stories of Passion,Julie Dash,1996,23,27
Talia Botone,f,Women: Stories of Passion,Julie Dash,1996,23,27
Tiffany Granath,f,Women: Stories of Passion,Julie Dash,1996,23,27
Aleksandra Kaniak,f,Women: Stories of Passion,Julie Dash,1996,23,27
Beth Broderick,f,Women: Stories of Passion,Julie Dash,1996,23,27
Holley Chant,f,Women: Stories of Passion,Julie Dash,1996,23,27
Holley Chant,f,A Child Lost Forever: The Jerry Sherwood Story,Claudia Weill,1992,21,17
Siena Goines,f,Women: Stories of Passion,Julie Dash,1996,23,27
Siena Goines,f,Judging Amy,Donna Deitch,1999,27,23
Sally Kirkland,f,Women: Stories of Passion,Julie Dash,1996,23,27
Joanne Takahashi,f,Women: Stories of Passion,Julie Dash,1996,23,27
Sabrina Van Tassel,f,Women: Stories of Passion,Julie Dash,1996,23,27
Arly Jover,f,Women: Stories of Passion,Julie Dash,1996,23,27
Erin Beaux,m,Women: Stories of Passion,Julie Dash,1996,23,27
Joseph Gian,m,Women: Stories of Passion,Julie Dash,1996,23,27
Lawrence LeJohn,m,Women: Stories of Passion,Julie Dash,1996,23,27
Lawrence LeJohn,m,Dragnet,Donna Deitch,2003,32,18
Seth Sutker,m,Women: Stories of Passion,Julie Dash,1996,23,27
Gregory Cruz,m,Women: Stories of Passion,Julie Dash,1996,23,27
Gregory Cruz,m,C-16: FBI,Donna Deitch,1997,30,20
Jean-Luc Martin,m,Women: Stories of Passion,Julie Dash,1996,23,27
Jennifer Edwards,f,Women: Stories of Passion,Julie Dash,1996,23,27
Sharon Ferguson,f,Women: Stories of Passion,Julie Dash,1996,23,27
Sharon Ferguson,f,Out to Sea,Martha Coolidge,1997,41,23
Gabriella Hall,f,Women: Stories of Passion,Julie Dash,1996,23,27
Francesca P. Roberts,f,Women: Stories of Passion,Julie Dash,1996,23,27
Francesca P. Roberts,f,Prison Stories: Women on the Inside,Donna Deitch,1991,3,18
Francesca P. Roberts,f,Prison Stories: Women on the Inside,Penelope Spheeris,1991,3,18
Francesca P. Roberts,f,My So-Called Life,Claudia Weill,1994,19,31
Francesca P. Roberts,f,Prison Stories: Women on the Inside,Joan Micklin Silver,1991,3,18
Cristian Letelier,m,Women: Stories of Passion,Julie Dash,1996,23,27
Peter Jason,m,Women: Stories of Passion,Julie Dash,1996,23,27
Peter Jason,m,Murder One: Diary of a Serial Killer,Donna Deitch,1997,39,11
George Milan,m,Women: Stories of Passion,Julie Dash,1996,23,27
Scott B. Smith,m,Women: Stories of Passion,Julie Dash,1996,23,27
Athena Worthy,f,Women: Stories of Passion,Julie Dash,1996,23,27
Bernard Zette,m,Women: Stories of Passion,Julie Dash,1996,23,27
Aileen Acain,f,Women: Stories of Passion,Julie Dash,1996,23,27
Patricia Place,f,Women: Stories of Passion,Julie Dash,1996,23,27
Patricia Place,f,Laurel Canyon,Lisa Cholodenko,2002,23,17
Patricia Place,f,Black Sheep,Penelope Spheeris,1996,35,13
Joe Tabb,m,Women: Stories of Passion,Julie Dash,1996,23,27
Lindsley Allen,f,Women: Stories of Passion,Julie Dash,1996,23,27
Courtney Delancey,f,Women: Stories of Passion,Julie Dash,1996,23,27
Jill Andre,f,Women: Stories of Passion,Julie Dash,1996,23,27
Alexander Apple,m,Women: Stories of Passion,Julie Dash,1996,23,27
Bill Irwin,m,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Bill Irwin,m,A Gifted Man,Donna Deitch,2011,26,24
Bill Irwin,m,Law & Order: Special Victims Unit (2002-2011),Donna Deitch,1999,29,21
KRS-One,m,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Tina North,f,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Paul Lazar,m,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Andre B. Blake,m,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Andre B. Blake,m,The Miseducation of Cameron Post,Desiree Akhavan,2018,36,27
Andre B. Blake,m,The Land of Steady Habits,Nicole Holofcener,2018,18,13
Anthony S. Calypso,m,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Robert W. Castle,m,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Marlon Cherry,m,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Carl J. Ferrazza,m,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Daniel Freedman,m,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Marc Mueller,m,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Paul Mueller,m,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Simon Seven,m,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Joe Toutebon,m,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Daniel Wolff,m,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Mari Danzi,f,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Lara McFarlane,f,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Angie Utt,f,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Audrey Meyers,f,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Denis Leary,m,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Christine Lahti,f,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
Christine Lahti,f,A Beautiful Day in the Neighborhood,Marielle Heller,2019,59,36
Christine Lahti,f,Chicago Hope,Claudia Weill,1994,24,26
N'Bushe Wright,f,SUBWAYStories: Tales from the Underground,Julie Dash,1997,52,26
