actor,gender,film,director,year,maleactors,femaleactors
Domenick Lombardozzi,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Domenick Lombardozzi,m,Mrs. Fletcher,Nicole Holofcener,2019,31,19
Clarke Peters,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Clarke Peters,m,Treme (2010-2013),Agnieszka Holland,2010,37,13
Clarke Peters,m,Harriet,Kasi Lemmons,2019,70,29
Clarke Peters,m,The Divide,Allison Anders,2014,32,18
Andre Royo,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Andre Royo,m,Empire,Dee Rees,2015,25,25
Michael Kenneth Williams,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Michael Kenneth Williams,m,Six Degrees,Mary Harron,2006,26,24
Michael Kenneth Williams,m,When They See Us,Ava DuVernay,2019,32,18
Michael Kenneth Williams,m,Lovecraft Country,Cheryl Dunye,2020,39,11
Michael Kenneth Williams,m,Bessie,Dee Rees,2015,71,39
Michael Kenneth Williams,m,When We Rise,Dee Rees,2017,30,20
Jim True-Frost,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Jim True-Frost,m,Karen Sisco,Kathryn Bigelow,2003,39,11
Frankie Faison,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Frankie Faison,m,The Village,Cheryl Dunye,2019,28,22
Corey Parker Robinson,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Delaney Williams,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
J.D. Williams,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
J.D. Williams,m,Oz,Mary Harron,1997,43,7
J.D. Williams,m,Oz,Barbara Kopple,1997,43,7
Wood Harris,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Wood Harris,m,Empire,Dee Rees,2015,25,25
Wood Harris,m,Southland (2011-2012),Allison Anders,2009,30,20
Idris Elba,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Idris Elba,m,The Office,Amy Heckerling,2005,32,18
Aidan Gillen,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Jamie Hector,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Jamie Hector,m,Heroes,Donna Deitch,2006,31,19
Gbenga Akinnagbe,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Gbenga Akinnagbe,m,The Following,Mary Harron,2013,24,26
Gbenga Akinnagbe,m,Graceland,Mary Harron,2013,34,16
Gbenga Akinnagbe,m,Detroit,Kathryn Bigelow,2017,115,23
Gbenga Akinnagbe,m,A Gifted Man,Donna Deitch,2011,26,24
Gbenga Akinnagbe,m,The Savages,Tamara Jenkins,2007,17,27
Gbenga Akinnagbe,m,The Unknown,Martha Coolidge,2012,25,13
Robert Wisdom,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Robert Wisdom,m,The Nine,Mary Harron,2006,28,22
Anwan Glover,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Felicia Pearson,f,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Chad L. Coleman,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Chad L. Coleman,m,The Black Ghiandola,Catherine Hardwick,2017,10,6
Tray Chaney,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Michael Kostroff,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Michael Kostroff,m,Luke Cage,Kasi Lemmons,2016,33,17
Isiah Whitlock Jr.,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Isiah Whitlock Jr.,m,The Divide,Allison Anders,2014,32,18
Isiah Whitlock Jr.,m,A Fish in the Bathtub,Joan Micklin Silver,1998,28,16
Robert F. Chew,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Michael Salconi,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Reg E. Cathey,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Reg E. Cathey,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Reg E. Cathey,m,American Psycho,Mary Harron,2000,25,24
Reg E. Cathey,m,Luke Cage,Kasi Lemmons,2016,33,17
Reg E. Cathey,m,The Divide,Allison Anders,2014,32,18
Reg E. Cathey,m,Crossing Delancey,Joan Micklin Silver,1988,31,34
Jermaine Crawford,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Tristan Mack Wilds,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Tristan Mack Wilds,m,Shots Fired,Gina Prince-Bythewood,2017,35,15
Tristan Mack Wilds,m,The Secret Life of Bees,Gina Prince-Bythewood,2008,26,22
Tristan Mack Wilds,m,Shots Fired,Kasi Lemmons,2017,35,15
Glynn Turman,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Glynn Turman,m,August 28th,Ava DuVernay,2016,8,4
Glynn Turman,m,The Bernie Mac Show,Gina Prince-Bythewood,2001,31,19
Glynn Turman,m,Graves,Allison Anders,2016,26,24
Glynn Turman,m,Proof,Allison Anders,2015,26,24
Edward T. Norris,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Amy Ryan,f,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Amy Ryan,f,The Office,Amy Heckerling,2005,32,18
Al Brown,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Al Brown,m,Shot in the Heart,Agnieszka Holland,2001,50,12
Richard Burton,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Benjamin Busch,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Ryan Sands,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Hassan Johnson,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Brian Anthony Wilson,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Brian Anthony Wilson,m,Siren,Martha Coolidge,2018,26,24
Gregory L. Williams,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Lawrence Gilliard Jr.,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Lawrence Gilliard Jr.,m,Fear Itself,Mary Harron,2008,27,23
Lawrence Gilliard Jr.,m,Graceland,Mary Harron,2013,34,16
Jay Landsman,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Thuliso Dingwall,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Paul Ben-Victor,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Paul Ben-Victor,m,The Village,Cheryl Dunye,2019,28,22
Paul Ben-Victor,m,Everybody Hates Chris,Gina Prince-Bythewood,2005,33,17
Paul Ben-Victor,m,Entourage,Patty Jenkins,2004,28,22
Edward Bernard Green Jr.,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Kwame Patterson,m,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Maria Broom,f,The Wire (2004-2008),Agnieszka Holland,2002,45,5
Robin Wright,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Robin Wright,f,"New York, I Love You",Mira Nair,2008,46,27
Robin Wright,f,Wonder Woman 1984,Patty Jenkins,2020,122,69
Robin Wright,f,Wonder Woman,Patty Jenkins,2017,111,73
Robin Wright,f,Hollywood Vice Squad,Penelope Spheeris,1986,26,18
Robin Wright,f,Enlightened (2011-2013),Nicole Holofcener,2011,25,25
Michael Kelly,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Kevin Spacey,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Justin Doescher,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Derek Cecil,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Derek Cecil,m,Pasadena,Mary Harron,2001,27,23
Derek Cecil,m,The $treet (2000-2001),Donna Deitch,2000,31,19
Derek Cecil,m,The Outsider,Karyn Kusama,2020,30,20
Derek Cecil,m,"Push, Nevada",Lisa Cholodenko,2002,39,11
Jayne Atkinson,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Nathan Darrow,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Nathan Darrow,m,Billions (2016-2017),Karyn Kusama,2016,36,14
Mahershala Ali,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Mahershala Ali,m,Crossing Jordan (2001-2007),Donna Deitch,2001,28,22
Mahershala Ali,m,Luke Cage,Kasi Lemmons,2016,33,17
Mahershala Ali,m,Ramy,Desiree Akhavan,2019,31,19
Boris McGiver,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Boris McGiver,m,The Carrie Diaries (2013-2014),Amy Heckerling,2013,28,22
Paul Sparks,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Paul Sparks,m,Please Give,Nicole Holofcener,2010,21,24
Gary Ayash,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Gary Ayash,m,Little Women,Greta Gerwig,1994,71,53
Gary Ayash,m,Wonder Woman 1984,Patty Jenkins,2020,122,69
Jeremy Holm,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Molly Parker,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Neve Campbell,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Michel Gill,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Marla Aaron Wapner,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Marla Aaron Wapner,f,Wonder Woman 1984,Patty Jenkins,2020,122,69
Nini Le Huynh,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Elizabeth Marvel,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Elizabeth Marvel,f,Unbelievable,Lisa Cholodenko,2019,26,24
Elizabeth Marvel,f,Betrayal,Patty Jenkins,2013,28,22
Elizabeth Marvel,f,The Land of Steady Habits,Nicole Holofcener,2018,18,13
Larry Pine,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Larry Pine,m,Plain Clothes,Martha Coolidge,1987,32,17
Gregory Divers,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Campbell Scott,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Campbell Scott,m,Six Degrees,Mary Harron,2006,26,24
Campbell Scott,m,Independent Lens,Debra Granik,1999,32,18
Sakina Jaffrey,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Constance Zimmer,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Constance Zimmer,f,Entourage,Patty Jenkins,2004,28,22
Constance Zimmer,f,Senseless,Penelope Spheeris,1998,44,15
Rachel Brosnahan,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Rachel Brosnahan,f,Olive Kitteridge,Lisa Cholodenko,2014,24,26
Rachel Brosnahan,f,Manhattan,Kimberly Peirce,2014,37,13
Curtiss Cook,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Curtiss Cook,m,The Chi,Cheryl Dunye,2018,30,20
Curtiss Cook,m,Mayans M.C.,Allison Anders,2018,38,12
Reed Birney,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Reed Birney,m,Not a Pretty Picture,Martha Coolidge,1976,6,6
John Wells,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Kristen Connolly,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Sebastian Arcelus,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Sebastian Arcelus,m,Madam Secretary,Martha Coolidge,2014,29,21
Jimmi Simpson,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Jimmi Simpson,m,Loser,Amy Heckerling,2000,41,32
Jimmi Simpson,m,Psych,Martha Coolidge,2006,37,13
Antoinette Montgomery,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Gerald McRaney,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Gerald McRaney,m,Southland (2011-2012),Allison Anders,2009,30,20
Gerald McRaney,m,This Is Us (2018-2020),Catherine Hardwick,2016,26,24
Dominique McElligott,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Dominique McElligott,f,Hell on Wheels,Catherine Hardwick,2011,42,8
Joel Kinnaman,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Joel Kinnaman,m,The Killing (2011-2012),Agnieszka Holland,2011,31,19
Joel Kinnaman,m,The Killing (2011-2012),Patty Jenkins,2011,31,19
Damian Young,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Kate Mara,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Kate Mara,f,Pose,Jennie Livingston,2018,23,27
Kate Mara,f,Entourage,Patty Jenkins,2004,28,22
Elizabeth Norment,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Julian Gamble,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Julian Gamble,m,For Justice,Ava DuVernay,2015,25,12
Julian Gamble,m,The Last Thing He Wanted,Dee Rees,2020,97,41
Lars Mikkelsen,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Lars Mikkelsen,m,Nordic Factory,Rungano Nyoni,2014,3,1
Corey Stoll,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Corey Stoll,m,The Nine,Mary Harron,2006,28,22
Corey Stoll,m,North Country,Niki Caro,2005,52,20
Corey Stoll,m,Girls,Claudia Weill,2012,28,22
Colm Feore,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Colm Feore,m,The Caveman's Valentine,Kasi Lemmons,2001,39,11
Kate Lyn Sheil,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Tatyana N. Pokrovskaya,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Patricia Clarkson,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Patricia Clarkson,f,Six Feet Under,Mary Harron,2001,28,22
Patricia Clarkson,f,Murder One (1995-1997),Donna Deitch,1995,28,22
Patricia Clarkson,f,High Art,Lisa Cholodenko,1998,7,11
Patricia Clarkson,f,Six Feet Under,Lisa Cholodenko,2001,28,22
Patricia Clarkson,f,Five,Patty Jenkins,2011,22,29
Patricia Clarkson,f,Five,Penelope Spheeris,2011,22,29
Patricia Clarkson,f,The Party,Sally Potter,2017,3,4
Patricia Clarkson,f,Six Feet Under (2003-2004),Nicole Holofcener,2001,28,22
Korey Jackson,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Mozhan Marnò,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Mercedes Herrero,f,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
John Rue,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Tim Pabon,m,House of Cards (2015-2017),Agnieszka Holland,2013,30,20
Zoe Saldana,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Zoe Saldana,f,Six Degrees,Mary Harron,2006,26,24
Patrick J. Adams,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Patrick J. Adams,m,Rage,Sally Potter,2009,10,4
Carole Bouquet,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
