film,actor,gender,role,year
There's a Place,Toni Collette,f,Self,2015
There's a Place,Kick Gurry,m,Self,2015
There's a Place,Tyson Ritter,m,Self,2015
Daisies,Jitka Cerhová,f,Marie I,1966
Daisies,Ivana Karbanová,f,Marie II,1966
Daisies,Julius Albert,m,Starsí sveták,1966
Daisies,Jan Klusák,m,Mladý sveták,1966
Daisies,Marie Cesková,f,Zena na toaletách,1966
Daisies,Jirina Myskova,f,Toaletárka,1966
Daisies,Marcela Brezinová,f,Toaletárka,1966
Daisies,Oldrich Hora,m,Sveták,1966
Daisies,Václav Chochola,m,,1966
Daisies,Josef Konícek,m,Tanecník ve vinárne,1966
Daisies,Jaromír Vomácka,m,Veselý pán,1966
Daisies,Jirina Cesková,f,,1966
Daisies,Ester Krumbachová,f,,1966
Daisies,Jaroslav Kucera,m,,1966
Daisies,Jarosmir Kuvacha,m,,1966
Daisies,V. Mysková,f,,1966
L.A. Doctors,Ken Olin,m,Dr. Roger Cattan,1998
L.A. Doctors,Matt Craven,m,Dr. Tim Lonner,1998
L.A. Doctors,Rick Roberts,m,Dr. Evan Newman,1998
L.A. Doctors,Sheryl Lee,f,Dr. Sarah Church,1998
L.A. Doctors,Melora Walters,f,Felicity,1998
L.A. Doctors,Deirdre O'Connell,f,Suzanne Blum,1998
L.A. Doctors,Coby Bell,m,Patrick Owen,1998
L.A. Doctors,Judith Scott,f,Nina,1998
L.A. Doctors,Joseph Ashton,m,Nick Newman,1998
L.A. Doctors,Rebecca Rigg,f,Kelly Newman,1998
L.A. Doctors,Patricia Wettig,f,Eleanor Riggs-Cattan / ...,1998
L.A. Doctors,Talia Balsam,f,Julie Lonner,1998
L.A. Doctors,Will Kempe,m,Steven Church,1998
L.A. Doctors,Jeff Allin,m,Dr. Tom Florin,1998
L.A. Doctors,Rachel Duhame,f,Winnie Newman,1998
L.A. Doctors,Erica Jimenez-Alvarado,f,Eva Lonner,1998
L.A. Doctors,Vanessa Jimenez-Alvarado,f,Christine Lonner,1998
L.A. Doctors,Douglas Roberts,m,Dr. Keith Cutter,1998
L.A. Doctors,Tom Arnold,m,Self / ...,1998
L.A. Doctors,Marita De Leon,f,Rosie,1998
L.A. Doctors,Vanessa Williams,f,Dr. Leanne Barrows,1998
L.A. Doctors,Anna Maria Horsford,f,Angela Daly,1998
L.A. Doctors,Clayton Rohner,m,Warren Spillman,1998
L.A. Doctors,John Gegenhuber,m,Dr. Doug Carter,1998
L.A. Doctors,Ryan Hurst,m,Kevin Raives,1998
L.A. Doctors,Peter Vogt,m,Clifford Raives,1998
L.A. Doctors,Nikita Ager,f,Audrey North,1998
L.A. Doctors,Rae Allen,f,Mildred Cattano,1998
L.A. Doctors,Dion Anderson,m,,1998
L.A. Doctors,Allan Arbus,m,Mr. Mitski,1998
L.A. Doctors,Maggie Baird,f,,1998
L.A. Doctors,Graham Beckel,m,Ron Rowlands,1998
L.A. Doctors,Daniel Beer,m,,1998
L.A. Doctors,Marea Bianchini,f,Reception Nurse,1998
L.A. Doctors,John Billingsley,m,Mr. Snow,1998
L.A. Doctors,Brittany Paige Bouck,f,Daphne Borroughs,1998
L.A. Doctors,Kevin Bourland,m,,1998
L.A. Doctors,David Bowe,m,Robert Brooks,1998
L.A. Doctors,Vincent Bowman,m,Tim,1998
L.A. Doctors,Lombardo Boyar,m,Manny,1998
L.A. Doctors,Roxana Brusso,f,ICU Nurse,1998
L.A. Doctors,Tricia Cast,f,Rebecca Williams,1998
L.A. Doctors,Lonny Chapman,m,,1998
L.A. Doctors,Luis Chávez,m,Orange Vendor,1998
L.A. Doctors,Bill Cobbs,m,Bob,1998
L.A. Doctors,Jasper Cole,m,Patient Zero,1998
L.A. Doctors,Michael Covert,m,Brad,1998
L.A. Doctors,Rick Cramer,m,Hans,1998
L.A. Doctors,Pat Crawford Brown,f,Old Lady Patient,1998
L.A. Doctors,JD Cullum,m,Second Year Resident,1998
Another Country,George Boyle,m,Grandad Evans,1992
Another Country,Amanda Clark,f,Twin 1,1992
Another Country,Nicola Clark,f,Twin 2,1992
Another Country,Hilary Cleary,f,Myra,1992
Another Country,Ann Cockroft,f,Cousin Shirley,1992
Another Country,Michael Cockroft,m,Twin 2,1992
Another Country,Nicholas Cockroft,m,Twin 1,1992
Another Country,Julie Collis,f,Mary,1992
Another Country,Antony Croser,m,Grandad Ben,1992
Another Country,Mike Daly,m,Travel Agent,1992
Another Country,Laurie Dee,m,Uncle Charlie,1992
Another Country,Alistair Douglas,m,Eric,1992
Another Country,Robyn Duncan-Cox,f,Sheryl,1992
Another Country,Ivor Fong,m,Builder,1992
Another Country,Lee-Jane Foreman,f,Emily,1992
Another Country,Sophie Gilbert,f,Graveyard Child,1992
Another Country,Lee Grant,f,Meryl,1992
Another Country,Tina Grenville,f,Irene,1992
Another Country,Ian Harrop,m,Bob,1992
Another Country,Andrea Kelland,f,Cousin Annie,1992
Another Country,Kathleen-Elizabeth Kelly,f,Irene's Mother,1992
Another Country,Brenda Kendall,f,Hannah,1992
Another Country,Yvonne Lawley,f,Blind Woman,1992
Another Country,Madyhan,f,Clarissa the Cat,1992
Another Country,Samantha Morton,f,Mary's Baby,1992
Another Country,Helen Moulder,f,Louise,1992
Another Country,Jim Rawdon,m,Derek,1992
Another Country,Martyn Sanderson,m,Ferg,1992
Another Country,Smiley,m,Ferdie the Dog,1992
Another Country,John Sumner,m,Donald,1992
Another Country,David Taylor,m,Graveyard Child,1992
Another Country,Joel Tobeck,m,Miles,1992
Another Country,Susan Tuialii,f,Graveyard Child,1992
Another Country,Joy Watson,f,Beryl,1992
Material Girls,Hilary Duff,f,Tanzie Marchetta,2006
Material Girls,Haylie Duff,f,Ava Marchetta,2006
Material Girls,Maria Conchita Alonso,f,Inez,2006
Material Girls,Anjelica Huston,f,Fabiella,2006
Material Girls,Brent Spiner,m,Tommy Katzenbach,2006
Material Girls,Lukas Haas,m,Henry Baines,2006
Material Girls,Marcus Coloma,m,Rick,2006
Material Girls,Ty Hodges,m,Etienne,2006
Material Girls,Reagan Dale Neis,f,Jaden,2006
Material Girls,Obba Babatundé,m,Craig,2006
Material Girls,Henry Cho,m,Ned Nakamori,2006
Material Girls,Misti Traya,f,Martinique,2006
Material Girls,Christina R. Copeland,f,Brigitta,2006
Material Girls,Brandon Beemer,m,Mic Rionn,2006
Material Girls,Colleen Camp,f,Charlene,2006
Material Girls,Dennis Lee Kelly,m,Joe Tweeney,2006
Material Girls,Judy Tenuta,f,Margo Thorness,2006
Material Girls,Joanne Baron,f,Gretchen,2006
Material Girls,Faith Prince,f,Pam,2006
Material Girls,Damian d'Entremont,m,Gene,2006
Material Girls,Dot-Marie Jones,f,Butch Brenda,2006
Material Girls,Cheryl Hawker,f,Big Sue,2006
Material Girls,Tanya Alexander,f,LaPorscha,2006
Material Girls,Philip Casnoff,m,Victor Marchetta,2006
Material Girls,Natalie Lander,f,Actress / Model / Whatever,2006
Material Girls,Larry Poindexter,m,Sol,2006
Material Girls,Carl Lewis,m,"""People"" Reporter",2006
Material Girls,Lalena Nash,f,Hotel Receptionist,2006
Material Girls,Timothy Davis-Reed,m,Security Guard,2006
Material Girls,Anthony Crivello,m,Surly Man,2006
Material Girls,Beckie King,f,"Actress in ""Long Island""",2006
Material Girls,Alejandro Rose-Garcia,m,Phone Repairman,2006
Material Girls,Annie McKnight,f,Jailer,2006
Material Girls,Carson Brown,f,Girl at Tribute,2006
Material Girls,Kayla Ewell,f,Fabiella Receptionist,2006
Material Girls,Terri Seymour,f,"""Extra"" Reporter",2006
Material Girls,Suzanne Whang,f,TV News Anchor,2006
Material Girls,Tonya Rowland,f,Fundraiser,2006
Material Girls,Joel Madden,m,Mistaken Valet #1,2006
Material Girls,Benji Madden,m,Mistaken Valet #2,2006
Material Girls,Brad Blumenthal,m,'E' Reporter,2006
Material Girls,Troy Rowland,m,Burly Bouncer,2006
Material Girls,William Barillaro,m,Bus Driver,2006
Material Girls,Miguel A. Gaetan,m,Street Vendor,2006
Material Girls,Jason Huber,m,Photographer,2006
Material Girls,Jaclyn Whitman,f,Jacqueline Tweeney,2006
Material Girls,Cheyenne Haynes,f,Inez's Daughter #1,2006
Material Girls,Andrea Ramírez,f,Inez's Daughter #2,2006
Material Girls,Kim Estes,m,Security Guard,2006
Material Girls,Darcy Halsey,f,Second Scarred Woman,2006
Material Girls,Kristen Hagen,f,Gossip Weekly Reporter,2006
Material Girls,Charlie Pineda,m,Reporter,2006
Material Girls,Richard Harter,m,Creep on the bus,2006
Material Girls,Perla Liberatori,f,Tanzania Marchetta,2006
Material Girls,Christina Romero Mollison,f,Business Associate,2006
Material Girls,Chris Blount,m,Boy at Tribute,2006
Material Girls,Gina Fricchione,f,Board of Director,2006
Material Girls,Michael Lugenbuehl,m,Swedish Masseuse,2006
Material Girls,Albert Malafronte,m,Nelson,2006
Material Girls,Dee Mas,f,Club Goer,2006
Material Girls,Eduardo Renta,m,Fabiela's Ex.,2006
Material Girls,Keith E. Smith,m,Tribute Dinner Security,2006
Material Girls,Breanna Startzel,f,Woman at the Party,2006
Material Girls,Rochelle Warner,f,Reporter,2006
Hotheads,Diane Dimassa,,Self,1993
Hotheads,Reno,f,Self,1993
Real Women Have Curves,America Ferrera,f,Ana Garcia,2002
Real Women Have Curves,Lupe Ontiveros,f,Carmen Garcia,2002
Real Women Have Curves,Ingrid Oliu,f,Estela Garcia,2002
Real Women Have Curves,George Lopez,m,Mr. Guzman,2002
Real Women Have Curves,Brian Sites,m,Jimmy,2002
Real Women Have Curves,Soledad St. Hilaire,f,Pancha,2002
Real Women Have Curves,Lourdes Perez Nido,f,Rosali,2002
Real Women Have Curves,Jorge Cervera Jr.,m,Raúl Garcia,2002
Real Women Have Curves,Felipe de Alba,m,Grandfather,2002
Real Women Have Curves,José Gerardo Zamora Jr.,m,Juan José,2002
Real Women Have Curves,Edgar Lujan,m,Juan Martin,2002
Real Women Have Curves,Lina Acosta,f,Norma,2002
Real Women Have Curves,Celina Belizan,f,Glitz Receptionist,2002
Real Women Have Curves,Ramona Garcia Coronado,f,Singing Woman,2002
Real Women Have Curves,Marlene Forte,f,Mrs. Glass,2002
Real Women Have Curves,Jim Ishida,m,Landlord,2002
Real Women Have Curves,Pete Leal,m,Dr. Lopez,2002
Real Women Have Curves,Josefina Lopez,f,Veronica,2002
Real Women Have Curves,Esmerelda McQuillan,f,Pharmacy Assistant,2002
Real Women Have Curves,Jose Tolentino,m,Mariachi,2002
Real Women Have Curves,Sandie Torres,f,Doña Carlota,2002
Real Women Have Curves,Dale E. Turner,m,Policeman,2002
Real Women Have Curves,Julia Vera,f,Doña Gorgonia,2002
Real Women Have Curves,Lisa Guzman,f,Girl #1,2002
Real Women Have Curves,Lackey Bevis,f,Girl #2,2002
Real Women Have Curves,Michelle Moretti,f,Girl #3,2002
Real Women Have Curves,Minerva García,f,Rita,2002
Real Women Have Curves,Mylo Ironbear,m,Cook,2002
A Heroine of '76,Lois Weber,f,The Tavern Keeper's Daughter,1911
A Heroine of '76,Phillips Smalley,m,The Tavern Keeper,1911
A Heroine of '76,Gordon Sackville,m,George Washington,1911
Barbra: The Music... The Mem'ries... The Magic!,Barbra Streisand,f,Self,2017
Barbra: The Music... The Mem'ries... The Magic!,Stephanie 'Stevvi' Alexander,f,Self / Background Singer,2017
Barbra: The Music... The Mem'ries... The Magic!,Alec Baldwin,m,Self,2017
Barbra: The Music... The Mem'ries... The Magic!,James Brolin,m,Self / Barbra's Husband,2017
Barbra: The Music... The Mem'ries... The Magic!,Martin Erlichman,m,Self / Barbra's Manager,2017
Barbra: The Music... The Mem'ries... The Magic!,Jamie Foxx,m,Self,2017
Barbra: The Music... The Mem'ries... The Magic!,Anne Hathaway,f,Self,2017
Barbra: The Music... The Mem'ries... The Magic!,Christian Hebel,m,Self / Solo Violinist,2017
Barbra: The Music... The Mem'ries... The Magic!,Hugh Jackman,m,Self,2017
Barbra: The Music... The Mem'ries... The Magic!,Richard Jay-Alexander,,Self / Concert Co-Director,2017
Barbra: The Music... The Mem'ries... The Magic!,Andrea Jones,,Self / Background Singer,2017
Barbra: The Music... The Mem'ries... The Magic!,Amy Keys,f,Self / Background Singer,2017
Barbra: The Music... The Mem'ries... The Magic!,Jay Landers,,Self / Music Supervisor Show,2017
Barbra: The Music... The Mem'ries... The Magic!,Seth MacFarlane,m,Self,2017
Barbra: The Music... The Mem'ries... The Magic!,Melissa McCarthy,f,Self,2017
Barbra: The Music... The Mem'ries... The Magic!,Chris Pine,m,Self,2017
Barbra: The Music... The Mem'ries... The Magic!,Daisy Ridley,f,Self,2017
Barbra: The Music... The Mem'ries... The Magic!,Patrick Wilson,m,Self,2017
My Brilliant Career,Judy Davis,f,Sybylla Melvyn,1979
My Brilliant Career,Sam Neill,m,Harry Beecham,1979
My Brilliant Career,Wendy Hughes,f,Aunt Helen,1979
My Brilliant Career,Robert Grubb,m,Frank Hawdon,1979
My Brilliant Career,Max Cullen,m,Mr. McSwatt,1979
My Brilliant Career,Aileen Britton,f,Grandma Bossier,1979
My Brilliant Career,Peter Whitford,m,Uncle Julius,1979
My Brilliant Career,Patricia Kennedy,f,Aunt Gussie,1979
My Brilliant Career,Alan Hopgood,m,Father,1979
My Brilliant Career,Julia Blake,f,Mother,1979
My Brilliant Career,David Franklin,m,Horace,1979
My Brilliant Career,Marion Shad,f,Gertie,1979
My Brilliant Career,Arron Wood,m,Stanley,1979
My Brilliant Career,Sue Davies,f,Aurora,1979
My Brilliant Career,Gordon Piper,m,Barman,1979
My Brilliant Career,James Moss,m,Pub Drinker,1979
My Brilliant Career,Bill Charlton,m,Joe,1979
My Brilliant Career,Suzanne Roylance,f,Biddy,1979
My Brilliant Career,Zelda Smyth,f,Ethel,1979
My Brilliant Career,Bobbie Ward,f,Mrs. Butler,1979
My Brilliant Career,Basil Clarke,m,Butler,1979
My Brilliant Career,Amanda Pratt,f,Blanche Derrick,1979
My Brilliant Career,Dorothy St. Heaps,f,Mrs. Derrick,1979
My Brilliant Career,Gerry Duggan,m,Squatter,1979
My Brilliant Career,Babs McMillan,f,Miss Benson,1979
My Brilliant Career,Carole Skinner,f,Mrs. McSwatt,1979
My Brilliant Career,Tony Hughes,m,Peter McSwat,1979
My Brilliant Career,Tina Robinson Hansen,f,Lizer McSwat,1979
My Brilliant Career,Aaron Corrin,m,Jimmy McSwat,1979
My Brilliant Career,Sharon Crouch,f,Sarah McSwat,1979
My Brilliant Career,Robert Austin,m,Willie McSwat,1979
My Brilliant Career,Mark Spain,m,Tommy McSwat,1979
My Brilliant Career,Simone Buchanan,f,Mary Anne,1979
My Brilliant Career,Hayley Joye,f,Rosie Jane,1979
My Brilliant Career,Kathleen Percival,f,Baby,1979
My Brilliant Career,Ray Meagher,m,Mailman,1979
Magazine for Fai,Martin Etcheberry,m,Various,1995
Magazine for Fai,Alejandro Goldberg,m,Various,1995
Magazine for Fai,Martín Slipak,m,Various,1995
Magazine for Fai,Mex Urtizberea,m,Anchorman / ...,1995
Magazine for Fai,Violeta Urtizberea,f,Various,1995
Magazine for Fai,Julieta Zylberberg,f,Various,1995
Magazine for Fai,Ariel Wiznia,m,,1995
Magazine for Fai,Maida Andrenacci,f,Various,1995
Magazine for Fai,Julián Kartun,f,Various,1995
Magazine for Fai,Laura Cymer,f,,1995
Magazine for Fai,Martín Piroyansky,m,,1995
Magazine for Fai,Carolina Setton,f,,1995
Magazine for Fai,Andrés Burecovics,m,,1995
Magazine for Fai,Ariel Eiberman,m,Complaining Neighbour,1995
Magazine for Fai,Marcelo Chirinos,m,,1995
Magazine for Fai,Julia Martínez Rubio,f,,1995
Once and Again (1999-2001),Sela Ward,f,Lily Manning,1999
Once and Again (1999-2001),Billy Campbell,m,Rick Sammler,1999
Once and Again (1999-2001),Julia Whelan,f,Grace Manning,1999
Once and Again (1999-2001),Meredith Deane,f,Zoe Manning,1999
Once and Again (1999-2001),Marin Hinkle,f,Judy Brooks,1999
Once and Again (1999-2001),Evan Rachel Wood,f,Jessie Sammler,1999
Once and Again (1999-2001),Shane West,m,Eli Sammler,1999
Once and Again (1999-2001),Susanna Thompson,f,Karen Sammler,1999
Once and Again (1999-2001),Jeffrey Nordling,m,Jake Manning,1999
Once and Again (1999-2001),Todd Field,m,David Cassilli,1999
Once and Again (1999-2001),Ever Carradine,f,Tiffany Porter,1999
Once and Again (1999-2001),Jennifer Crystal Foley,f,Christie Parker,1999
Once and Again (1999-2001),Steven Weber,m,Sam Blue,1999
Once and Again (1999-2001),Audrey Marie Anderson,f,Carla Aldrich,1999
Once and Again (1999-2001),David Clennon,m,Miles Drentell,1999
Once and Again (1999-2001),Kelly Coffield Park,f,Naomi,1999
Once and Again (1999-2001),Kimberly McCullough,f,Jennifer,1999
Once and Again (1999-2001),Mischa Barton,f,Katie Singer,1999
Once and Again (1999-2001),Marco Gould,m,Spencer Lewicki / ...,1999
Once and Again (1999-2001),Dennison Samaroo,m,Saj,1999
Once and Again (1999-2001),Eric Stoltz,m,August Dimitri,1999
Once and Again (1999-2001),Bonnie Bartlett,f,Barbara Brooks,1999
Once and Again (1999-2001),Paul Mazursky,m,Phil Brooks,1999
Once and Again (1999-2001),Samantha MacLachlan,f,Victoria - Receptionist,1999
Once and Again (1999-2001),Julie Berman,f,Julie / ...,1999
Once and Again (1999-2001),Paul Dooley,m,Les Cresswell,1999
Once and Again (1999-2001),Vanessa Chester,f,Annie / ...,1999
Once and Again (1999-2001),Victoria Fang,f,Gwen,1999
Once and Again (1999-2001),Mark Feuerstein,m,Leo Fisher,1999
Once and Again (1999-2001),Sean Sweeney,m,Simon,1999
Once and Again (1999-2001),Mark Valley,m,Will Gluck,1999
Once and Again (1999-2001),Natasha Gaty,f,Alexa Yagoda,1999
Once and Again (1999-2001),James Lafferty,m,Tad,1999
Once and Again (1999-2001),Peter Schindler,m,Angry Faced Father / ...,1999
Once and Again (1999-2001),James Eckhouse,m,Lloyd Lloyd,1999
Once and Again (1999-2001),Rachel True,f,Mali,1999
Once and Again (1999-2001),Patrick Dempsey,m,Aaron Brooks,1999
Once and Again (1999-2001),D.B. Sweeney,m,Graham Rympalski,1999
Once and Again (1999-2001),Winnie Holzman,f,Shelley,1999
Once and Again (1999-2001),Josh Breslow,m,Silvius / ...,1999
Once and Again (1999-2001),Adam Brody,m,Coop,1999
Once and Again (1999-2001),Jim Fyfe,m,Mr. Lowell / ...,1999
Once and Again (1999-2001),Robert Ri'chard,m,Jared,1999
Once and Again (1999-2001),Hillary Straney,f,Waitress / ...,1999
Once and Again (1999-2001),Charles Walker,m,Craig,1999
Once and Again (1999-2001),Christina Chang,f,Amanda,1999
Once and Again (1999-2001),Paul David Stewart,m,Dan,1999
Once and Again (1999-2001),Ashlee Turner,f,Cynthia McCormick,1999
Once and Again (1999-2001),Ira David Wood IV,m,Ajay Lieberman,1999
Once and Again (1999-2001),Suzanne Lanza,f,Assistant,1999
The Intruder,Michel Subor,m,Louis Trebor,2004
The Intruder,Grégoire Colin,m,Sidney,2004
The Intruder,Yekaterina Golubeva,f,La jeune femme russe,2004
The Intruder,Bambou,f,La pharmacienne,2004
The Intruder,Florence Loiret Caille,f,Antoinette,2004
The Intruder,Lolita Chammah,f,La sauvageonne,2004
The Intruder,Alex Descas,m,Le prêtre,2004
The Intruder,Dong-ho Kim,m,Le propriétaire du bateau,2004
The Intruder,Se-tak Chang,m,L'associé du propriétaire du bateau,2004
The Intruder,Hong-suk Park,m,L'homme du marché aux poissons,2004
The Intruder,Edwin Alin,m,Le patron de la quincaillerie,2004
The Intruder,Henri Tetainanuarii,m,Henri,2004
The Intruder,Jean-Marc Teriipaia,m,Tony,2004
The Intruder,Anna Tetuaveroa,f,La mère,2004
The Intruder,Béatrice Dalle,f,La reine de l'hémisphère nord,2004
The Women of Brewster Place,Oprah Winfrey,f,Mattie Michael,1989
The Women of Brewster Place,Mary Alice,f,Fannie Michael,1989
The Women of Brewster Place,Olivia Cole,f,Miss Sophie,1989
The Women of Brewster Place,Robin Givens,f,Kiswana / ...,1989
The Women of Brewster Place,Moses Gunn,m,Ben,1989
The Women of Brewster Place,Jackée Harry,f,Etta Mae Johnson,1989
The Women of Brewster Place,Paula Kelly,f,Theresa,1989
The Women of Brewster Place,Leon,m,Abshu,1989
The Women of Brewster Place,Lonette McKee,f,Lorraine,1989
The Women of Brewster Place,Barbara Montgomery,f,Miss Eva Turner,1989
The Women of Brewster Place,Phyllis Yvonne Stickney,f,Cora Lee,1989
The Women of Brewster Place,Lynn Whitfield,f,Ciel,1989
The Women of Brewster Place,Paul Winfield,m,Sam Michael,1989
The Women of Brewster Place,William Allen Young,m,Eugene,1989
The Women of Brewster Place,Cicely Tyson,f,Mrs. Browne,1989
The Women of Brewster Place,Bruce Beatty,m,Crony,1989
The Women of Brewster Place,Vivian Bonnell,f,Black Woman,1989
The Women of Brewster Place,William Frankfather,m,Judge,1989
The Women of Brewster Place,Montrose Hagins,f,Mourner,1989
The Women of Brewster Place,Jinaki,f,Tenant #3,1989
The Women of Brewster Place,Clark Johnson,m,Butch Fuller,1989
The Women of Brewster Place,Homeselle Joy,f,Betina,1989
The Women of Brewster Place,Eugene Lee,m,Basil,1989
The Women of Brewster Place,Bebe Drake,f,Cleo,1989
The Women of Brewster Place,Molly McClure,f,White Woman,1989
The Women of Brewster Place,Glenn Plummer,m,C.C. Baker,1989
The Women of Brewster Place,Veronica Redd,f,Tenant #2,1989
The Women of Brewster Place,Roxanne Reese,f,Alfreda,1989
The Women of Brewster Place,Adrian Ricard,f,Tenant #4,1989
The Women of Brewster Place,Ta-Tanisha,f,Tenant #1,1989
The Women of Brewster Place,Douglas Turner Ward,m,Reverend Woods,1989
The Women of Brewster Place,Charles Weldon,m,Tenant #5,1989
The Women of Brewster Place,Samm-Art Williams,m,Cecil Garvin,1989
The Women of Brewster Place,Vanessa Bell Armstrong,f,Gospel Singer,1989
The Women of Brewster Place,Jonathan 'Fudge' Leonard,m,Brucie,1989
The Women of Brewster Place,Maya Leonard,f,Diedre,1989
The Women of Brewster Place,Phill Lewis,m,Bottom,1989
The Women of Brewster Place,Ray Oliver,m,Cab Driver,1989
The Women of Brewster Place,Eddie Palmer,m,Little Basil,1989
The Women of Brewster Place,Bee-Be Smith,f,Hippolyta,1989
The Women of Brewster Place,Ebonie Smith,f,Little Ciel,1989
The Women of Brewster Place,Sheekeena Smith,f,Girl on Skates,1989
The Women of Brewster Place,Larenz Tate,m,Sammy,1989
The Women of Brewster Place,Geoffrey Thorne,m,Theseus,1989
The Women of Brewster Place,Paul Williams,m,Teenage Guy,1989
The Women of Brewster Place,Shari Belafonte,f,,1989
The Women of Brewster Place,Lourdes Reynolds,f,Spanish speaking patient,1989
The Women of Brewster Place,James Vallo,m,Marine,1989
Golden Dreams,Whoopi Goldberg,f,"Califia, the Queen of California",2001
Golden Dreams,Yasuko Takahara,f,Kinuyo,2001
Golden Dreams,Richard Balin,m,Louis B. Mayer,2001
Golden Dreams,Eric Matheny,m,,2001
Golden Dreams,Mark Neveldine,m,Steve Jobs,2001
Golden Dreams,Lawrence Calvin,m,Computer Nerd #5,2001
Golden Dreams,Dean Chambers,m,Director at MGM,2001
Golden Dreams,Halley Eveland,m,Little Flower Child,2001
Golden Dreams,Julian Garcia,m,Chumash Indian,2001
Golden Dreams,Jason Hillhouse,m,Steve Wozniak,2001
Golden Dreams,Steven Houska,m,Newsreel Cameraman,2001
Golden Dreams,Rodney Kageyama,m,Japanese Man,2001
Golden Dreams,Mikel Miller,m,"Military Man, Father",2001
Golden Dreams,Nick Scoggin,m,Immigration Official,2001
Golden Dreams,Samuel Sheng,m,2nd Japanese Man,2001
Golden Dreams,Kim Staunton,f,Katie Grant,2001
Golden Dreams,Jason Tobin,m,Chinese son,2001
Golden Dreams,Malcolm Wain,m,Okie Migrant,2001
Golden Dreams,Ron Yuan,m,The Chinese Man,2001
Golden Dreams,Galen Yuen,m,Chinese Father,2001
Bored to Death,Jason Schwartzman,m,Jonathan Ames,2009
Bored to Death,Zach Galifianakis,m,Ray Hueston,2009
Bored to Death,Ted Danson,m,George Christopher,2009
Bored to Death,Heather Burns,f,Leah,2009
Bored to Death,John Hodgman,m,Louis Greene,2009
Bored to Death,David Rasche,m,Bernard,2009
Bored to Death,Oliver Platt,m,Richard Antrem,2009
Bored to Death,Halley Feiffer,f,Emily,2009
Bored to Death,Jenny Slate,f,Stella,2009
Bored to Death,Olivia Thirlby,f,Suzanne,2009
Bored to Death,Mary Kay Place,f,Kathryn Joiner,2009
Bored to Death,Zoe Kazan,f,Nina,2009
Bored to Death,Mary Steenburgen,f,Josephine,2009
Bored to Death,Laila Robins,f,Priscilla Antrem,2009
Bored to Death,Olympia Dukakis,f,Belinda,2009
Bored to Death,Alex Wyse,m,Steven,2009
Bored to Death,Patton Oswalt,m,Howard Baker,2009
Bored to Death,Bebe Neuwirth,f,Caroline Taylor,2009
Bored to Death,Jessica Hecht,f,Dr. Donna Kenwood,2009
Bored to Death,Kristen Wiig,f,Jennifer Gladwell,2009
Bored to Death,Richard Masur,m,Ira Ames,2009
Bored to Death,Lenny Venito,m,Officer Drake,2009
Bored to Death,Samantha Bee,f,Renee Dalton,2009
Bored to Death,Allyce Beasley,f,Florence Ames,2009
Bored to Death,Joel Marsh Garland,m,Bob,2009
Bored to Death,Finnerty Steeves,f,Diane,2009
Bored to Death,Rob Yang,m,Peter,2009
Bored to Death,Flynn Kirk,f,Sylvie,2009
Bored to Death,Isla Fisher,f,Rose Hiney,2009
Bored to Death,Ajay Naidu,m,Vikram,2009
Bored to Death,Kate Micucci,f,Sherri,2009
Bored to Death,Stacy Keach,m,Harrison Bergeron,2009
Bored to Death,Amy Spanger,f,Kitty,2009
Bored to Death,Danny Rutigliano,m,Sid,2009
Bored to Death,Jonathan Ames,m,Irwin,2009
Bored to Death,Ginger A. Taylor,f,Emily,2009
Bored to Death,Angry Bob,m,Angry Bob / ...,2009
Bored to Death,Cristhian Andrews,m,Professional Writer,2009
Bored to Death,Blanca Camacho,f,,2009
Bored to Death,Uzimann,m,Hallal Food Vendor,2009
Bored to Death,F. Murray Abraham,m,Professor Richard Hawkes,2009
Bored to Death,Dick Cavett,m,Self,2009
Bored to Death,Peter Hermann,m,Gary,2009
Bored to Death,Jim Jarmusch,m,Jim Jarmusch,2009
Bored to Death,Romany Malco,m,Escort,2009
Bored to Death,Parker Posey,f,Michelle Whiting,2009
Bored to Death,Richard Short,m,Vincent Ellis,2009
Bored to Death,Jim Gaffigan,m,Drug Counsellor,2009
Bored to Death,Casey Wilson,f,Patti Stevenson,2009
Bored to Death,E.J. Bonilla,m,Francisco,2009
Gasman,Lynne Ramsay Jr.,f,Lynne,1998
Gasman,Martin Anderson,m,Steven,1998
Gasman,James Ramsay,m,Da,1998
Gasman,Denise Flannagan,f,Ma,1998
Gasman,Jackie Quinn,f,Woman,1998
Gasman,Lisa Taylor,f,Girl,1998
Gasman,Robert McEwan,m,Boy,1998
The Matrix Revolutions,Mary Alice,f,The Oracle,2003
The Matrix Revolutions,Tanveer K. Atwal,f,Sati,2003
The Matrix Revolutions,Helmut Bakaitis,m,The Architect,2003
The Matrix Revolutions,Kate Beahan,f,Coat Check Girl,2003
The Matrix Revolutions,Francine Bell,f,Councillor Grace,2003
The Matrix Revolutions,Monica Bellucci,f,Persephone,2003
The Matrix Revolutions,Rachel Blackman,f,Charra,2003
The Matrix Revolutions,Henry Blasingame,m,Deus Ex Machina,2003
The Matrix Revolutions,Ian Bliss,m,Bane,2003
The Matrix Revolutions,David Bowers,m,Q-Ball Gang Member #1,2003
The Matrix Revolutions,Zeke Castelli,m,Operations Officer Mattis,2003
The Matrix Revolutions,Collin Chou,m,Seraph,2003
The Matrix Revolutions,Essie Davis,f,Maggie,2003
