actor,director,gender
John Boyd,Donna Deitch,m
David Call,Mary Harron,m
David Call,Amy Heckerling,m
Geoffrey Cantor,Mary Harron,m
Geoffrey Cantor,Donna Deitch,m
Jack Gilpin,Mary Harron,m
Jack Gilpin,Karyn Kusama,m
Jack Gilpin,Susan Seidelman,m
Heather Litteer,Mary Harron,f
Heather Litteer,Jane Campion,f
Shelly Mars,Mary Harron,f
Shelly Mars,Jennie Livingston,f
Christopher McCann,Mary Harron,m
Christopher McCann,Susan Seidelman,m
Kohl Sudduth,Mary Harron,m
Kohl Sudduth,Allison Anders,m
Anna Kendrick,Mary Harron,f
Anna Kendrick,Marjane Satrapi,f
Anna Kendrick,Catherine Hardwick,f
Clifton Collins Jr.,Mary Harron,m
Clifton Collins Jr.,Donna Deitch,m
Maggie Lawson,Mary Harron,f
Maggie Lawson,Euzhan Palcy,f
Maggie Lawson,Martha Coolidge,f
Elisabeth Moss,Mary Harron,f
Elisabeth Moss,Jane Campion,f
Elisabeth Moss,Donna Deitch,f
Elisabeth Moss,Penelope Spheeris,f
Elisabeth Moss,Joan Micklin Silver,f
Eric Roberts,Mary Harron,m
Eric Roberts,Donna Deitch,m
Eric Roberts,Susan Seidelman,m
Ethan Embry,Mary Harron,m
Ethan Embry,Donna Deitch,m
Colin Ferguson,Mary Harron,m
Colin Ferguson,Donna Deitch,m
James Roday,Mary Harron,m
James Roday,Martha Coolidge,m
Martin Donovan,Mary Harron,m
Martin Donovan,Mira Nair,m
Martin Donovan,Jane Campion,m
Martin Donovan,Martha Coolidge,m
Paula Jai Parker,Mary Harron,f
Paula Jai Parker,Cheryl Dunye,f
Marshall Bell,Mary Harron,m
Marshall Bell,Sofia Coppola,m
Niall Matter,Mary Harron,m
Niall Matter,Donna Deitch,m
Jack Noseworthy,Mary Harron,m
Jack Noseworthy,Donna Deitch,m
Sonja Bennett,Mary Harron,f
Sonja Bennett,Donna Deitch,f
Gillian Barber,Mary Harron,f
Gillian Barber,Claudia Weill,f
Christian Bale,Mary Harron,m
Christian Bale,Jane Campion,m
Christian Bale,Gillian Armstrong,m
Christian Bale,Lisa Cholodenko,m
Josh Lucas,Mary Harron,m
Josh Lucas,Kathryn Bigelow,m
Reese Witherspoon,Mary Harron,f
Reese Witherspoon,Mira Nair,f
Reese Witherspoon,Ava DuVernay,f
Samantha Mathis,Mary Harron,f
Samantha Mathis,Gillian Armstrong,f
Samantha Mathis,Karyn Kusama,f
Jared Leto,Mary Harron,m
Jared Leto,Claudia Weill,m
Willem Dafoe,Mary Harron,m
Willem Dafoe,Jane Campion,m
Willem Dafoe,Kathryn Bigelow,m
Willem Dafoe,Dee Rees,m
Willem Dafoe,Gurinder Chadha,m
Guinevere Turner,Mary Harron,f
Guinevere Turner,Cheryl Dunye,f
Catherine Black,Mary Harron,f
Catherine Black,Amy Heckerling,f
Joseph Oliveira,Mary Harron,m
Joseph Oliveira,Ava DuVernay,m
Joseph Oliveira,Lisa Cholodenko,m
Ronald Reagan,Mary Harron,m
Ronald Reagan,Ida Lupino,m
Kate Steen,Mary Harron,f
Kate Steen,Penelope Spheeris,f
Kim Allen,Mary Harron,f
Kim Allen,Amy Heckerling,f
Kim Allen,Donna Deitch,f
Balthazar Getty,Mary Harron,m
Balthazar Getty,Dee Rees,m
Alison Lohman,Mary Harron,f
Alison Lohman,Susanne Bier,f
Chris Marquette,Mary Harron,m
Chris Marquette,Martha Coolidge,m
Mark Valley,Mary Harron,m
Mark Valley,Kathryn Bigelow,m
Mark Valley,Claudia Weill,m
Natasha Gregson Wagner,Mary Harron,f
Natasha Gregson Wagner,Patricia Cardoso,f
Natasha Gregson Wagner,Claudia Weill,f
Philip Baker Hall,Mary Harron,m
Philip Baker Hall,Amy Heckerling,m
Bill Dow,Mary Harron,m
Bill Dow,Donna Deitch,m
Chelsea Hobbs,Mary Harron,f
Chelsea Hobbs,Catherine Hardwick,f
Christina Moore,Mary Harron,f
Christina Moore,Cheryl Dunye,f
Austin Nichols,Mary Harron,m
Austin Nichols,Cheryl Dunye,m
Austin Nichols,Patty Jenkins,m
Austin Nichols,Penelope Spheeris,m
Sam Anderson,Mary Harron,m
Sam Anderson,Donna Deitch,m
Sam Anderson,Penelope Spheeris,m
Lupe Ontiveros,Mary Harron,f
Lupe Ontiveros,Patricia Cardoso,f
Lupe Ontiveros,Nicole Holofcener,f
Beverley Breuer,Mary Harron,f
Beverley Breuer,Allison Anders,f
Malcolm Stewart,Mary Harron,m
Malcolm Stewart,Allison Anders,m
Jessica Harmon,Mary Harron,f
Jessica Harmon,Allison Anders,f
David Lewis,Mary Harron,m
David Lewis,Lisa Cholodenko,m
David Lewis,Ida Lupino,m
Terri Douglas,Mary Harron,f
Terri Douglas,Donna Deitch,f
Terri Douglas,Jennifer Lee,f
Jay Brazeau,Mary Harron,m
Jay Brazeau,Gillian Armstrong,m
Julia Vera,Mary Harron,f
Julia Vera,Patricia Cardoso,f
Julia Vera,Allison Anders,f
Laurie Murdoch,Mary Harron,m
Laurie Murdoch,Euzhan Palcy,m
Warren Christie,Mary Harron,m
Warren Christie,Cheryl Dunye,m
Warren Christie,Catherine Hardwick,m
Eric Breker,Mary Harron,m
Eric Breker,Susan Seidelman,m
Kevin Bacon,Mary Harron,m
Kevin Bacon,Andrea Arnold,m
Kevin Bacon,Jane Campion,m
Kevin Bacon,Lisa Cholodenko,m
Kevin Bacon,Kimberly Peirce,m
James Purefoy,Mary Harron,m
James Purefoy,Mira Nair,m
Natalie Zea,Mary Harron,f
Natalie Zea,Lisa Cholodenko,f
Natalie Zea,Kimberly Peirce,f
Zuleikha Robinson,Mary Harron,f
Zuleikha Robinson,Mira Nair,f
Valerie Cruz,Mary Harron,f
Valerie Cruz,Donna Deitch,f
Connie Nielsen,Mary Harron,f
Connie Nielsen,Patty Jenkins,f
Connie Nielsen,Martha Coolidge,f
Connie Nielsen,Susanne Bier,f
Tiffany Boone,Mary Harron,f
Tiffany Boone,Cheryl Dunye,f
Chinasa Ogbuagu,Mary Harron,f
Chinasa Ogbuagu,Allison Anders,f
Michael Ealy,Mary Harron,m
Michael Ealy,Ava DuVernay,m
Mike Colter,Mary Harron,m
Mike Colter,Kathryn Bigelow,m
Mike Colter,Kasi Lemmons,m
Jennifer Ferrin,Mary Harron,f
Jennifer Ferrin,Allison Anders,f
Jennifer Ferrin,Catherine Hardwick,f
Hunter Parrish,Mary Harron,m
Hunter Parrish,Martha Coolidge,m
Hunter Parrish,Nancy Meyers,m
Diane Neal,Mary Harron,f
Diane Neal,Donna Deitch,f
Megalyn Echikunwoke,Mary Harron,f
Megalyn Echikunwoke,Julie Dash,f
Jacinda Barrett,Mary Harron,f
Jacinda Barrett,Mira Nair,f
Anna Wood,Mary Harron,f
Anna Wood,Catherine Hardwick,f
Billy Brown,Mary Harron,m
Billy Brown,Lana Wachowski,m
Billy Brown,Lilly Wachowski,m
Tracey MacLeod,Mary Harron,f
Tracey MacLeod,Joanna Hogg,f
Peter Hall,Mary Harron,m
Peter Hall,Joanna Hogg,m
Thelma Schoonmaker,Mary Harron,f
Thelma Schoonmaker,Barbara Kopple,f
Merwin Goldsmith,Mary Harron,m
Merwin Goldsmith,Susan Seidelman,m
Merwin Goldsmith,Joan Micklin Silver,m
Bernardo Bertolucci,Mary Harron,m
Bernardo Bertolucci,Catherine Breillat,m
Ian Brown,Mary Harron,m
Ian Brown,Catherine Hardwick,m
Sarah Bolger,Mary Harron,f
Sarah Bolger,Allison Anders,f
Valerie Tian,Mary Harron,f
Valerie Tian,Karyn Kusama,f
Lily Cole,Mary Harron,f
Lily Cole,Sally Potter,f
Alain Goulem,Mary Harron,m
Alain Goulem,Alanis Obomsawin,m
Zina Wilde,Mary Harron,f
Zina Wilde,Karyn Kusama,f
Daniel Sunjata,Mary Harron,m
Daniel Sunjata,Donna Deitch,m
Aaron Tveit,Mary Harron,m
Aaron Tveit,Amy Heckerling,m
Rhys Coiro,Mary Harron,m
Rhys Coiro,Donna Deitch,m
Rhys Coiro,Patty Jenkins,m
Jamie Gray Hyder,Mary Harron,f
Jamie Gray Hyder,Donna Deitch,f
Brit Morgan,Mary Harron,f
Brit Morgan,Allison Anders,f
Pedro Pascal,Mary Harron,m
Pedro Pascal,Patty Jenkins,m
Pedro Pascal,Allison Anders,m
Coby Ryan McLaughlin,Mary Harron,m
Coby Ryan McLaughlin,Donna Deitch,m
Coby Ryan McLaughlin,Martha Coolidge,m
Vincent Laresca,Mary Harron,m
Vincent Laresca,Catherine Hardwick,m
Vincent Laresca,Martha Coolidge,m
Nestor Serrano,Mary Harron,m
Nestor Serrano,Donna Deitch,m
John Kapelos,Mary Harron,m
John Kapelos,Martha Coolidge,m
Peter Stormare,Mary Harron,m
Peter Stormare,Amy Heckerling,m
Peter Stormare,Penny Marshall,m
Peter Stormare,Desiree Akhavan,m
Peter Stormare,Kimberly Peirce,m
Peter Stormare,Susanne Bier,m
Deniz Akdeniz,Mary Harron,m
Deniz Akdeniz,Martha Coolidge,m
Christopher Redman,Mary Harron,m
Christopher Redman,Kathryn Bigelow,m
Annie Ilonzeh,Mary Harron,f
Annie Ilonzeh,Karyn Kusama,f
Annie Ilonzeh,Martha Coolidge,f
Raheem Babalola,Mary Harron,m
Raheem Babalola,Cheryl Dunye,m
AnnaSophia Robb,Mary Harron,f
AnnaSophia Robb,Amy Heckerling,f
Mira Sorvino,Mary Harron,f
Mira Sorvino,Susan Seidelman,f
Mira Sorvino,Martha Coolidge,f
Adrian M. Mompoint,Mary Harron,m
Adrian M. Mompoint,Kathryn Bigelow,m
Erik Van Wyck,Mary Harron,m
Erik Van Wyck,Joan Micklin Silver,m
Daniel Washington,Mary Harron,m
Daniel Washington,Kathryn Bigelow,m
Daniel K. Isaac,Mary Harron,m
Daniel K. Isaac,Karyn Kusama,m
David Cronenberg,Mary Harron,m
David Cronenberg,Jane Campion,m
Paul Gross,Mary Harron,m
Paul Gross,Patricia Cardoso,m
Sarah Manninen,Mary Harron,f
Sarah Manninen,Martha Coolidge,f
Elizabeth Saunders,Mary Harron,f
Elizabeth Saunders,Mira Nair,f
Samantha Weinstein,Mary Harron,f
Samantha Weinstein,Kimberly Peirce,f
Diane D'Aquila,Mary Harron,f
Diane D'Aquila,Sarah Polley,f
Albert Schultz,Mary Harron,m
Albert Schultz,Claudia Weill,m
Lisa Codrington,Mary Harron,f
Lisa Codrington,Niki Caro,f
Diane Flacks,Mary Harron,f
Diane Flacks,Sarah Polley,f
Mairtin O'Carrigan,Mary Harron,m
Mairtin O'Carrigan,Sarah Polley,m
Kelly Jones,Mary Harron,m
Kelly Jones,Allison Anders,m
Mann Alfonso,Mary Harron,m
Mann Alfonso,Patricia Cardoso,m
Claire van der Boom,Mary Harron,f
Claire van der Boom,Kimberly Peirce,f
Patrick Carroll,Mary Harron,m
Patrick Carroll,Lisa Cholodenko,m
Shamier Anderson,Mary Harron,m
Shamier Anderson,Gina Prince-Bythewood,m
Shamier Anderson,Karyn Kusama,m
Shamier Anderson,Kasi Lemmons,m
Annalise Basso,Mary Harron,f
Annalise Basso,Dee Rees,f
Werner Daehn,Mary Harron,m
Werner Daehn,Lana Wachowski,m
Werner Daehn,Lilly Wachowski,m
J.D. Evermore,Mary Harron,m
J.D. Evermore,Gina Prince-Bythewood,m
J.D. Evermore,Kimberly Peirce,m
Nick Gehlfuss,Mary Harron,m
Nick Gehlfuss,Karyn Kusama,m
Lisa Darr,Mary Harron,f
Lisa Darr,Donna Deitch,f
James Le Gros,Mary Harron,m
James Le Gros,Kathryn Bigelow,m
James Le Gros,Donna Deitch,m
James Le Gros,Kelly Reichardt,m
James Le Gros,Claudia Weill,m
James Le Gros,Nicole Holofcener,m
Charles Parnell,Mary Harron,m
Charles Parnell,Desiree Akhavan,m
William Mapother,Mary Harron,m
William Mapother,Patricia Cardoso,m
William Mapother,Allison Anders,m
William Mapother,Catherine Hardwick,m
Sharon Conley,Mary Harron,f
Sharon Conley,Gina Prince-Bythewood,f
Sharon Conley,Martha Coolidge,f
Michael McGrady,Mary Harron,m
Michael McGrady,Allison Anders,m
Michael McGrady,Catherine Hardwick,m
Michael McGrady,Claudia Weill,m
Annie Monroe,Mary Harron,f
Annie Monroe,Allison Anders,f
Robert Pralgo,Mary Harron,m
Robert Pralgo,Cheryl Dunye,m
Chasty Ballesteros,Mary Harron,f
Chasty Ballesteros,Martha Coolidge,f
Victor McCay,Mary Harron,m
Victor McCay,Martha Coolidge,m
Cullen Moss,Mary Harron,m
Cullen Moss,Gina Prince-Bythewood,m
Cullen Moss,Kasi Lemmons,m
Amy Parrish,Mary Harron,f
Amy Parrish,Donna Deitch,f
Teddy Sears,Mary Harron,m
Teddy Sears,Karyn Kusama,m
Naveen Andrews,Mira Nair,m
Naveen Andrews,Lana Wachowski,m
Naveen Andrews,Lilly Wachowski,m
Naveen Andrews,Gurinder Chadha,m
Glenne Headly,Mira Nair,f
Glenne Headly,Susan Seidelman,f
Swoosie Kurtz,Mira Nair,f
Swoosie Kurtz,Barbara Kopple,f
Swoosie Kurtz,Joan Micklin Silver,f
Swoosie Kurtz,Martha Coolidge,f
Marisa Tomei,Mira Nair,f
Marisa Tomei,Tamara Jenkins,f
Marisa Tomei,Allison Anders,f
Marisa Tomei,Nancy Meyers,f
Ellora Patnaik,Mira Nair,f
Ellora Patnaik,Donna Deitch,f
Peter MacNeill,Mira Nair,m
Peter MacNeill,Kasi Lemmons,m
Peter MacNeill,Allison Anders,m
David Fox,Mira Nair,m
David Fox,Gillian Armstrong,m
Steve Cumyn,Mira Nair,m
Steve Cumyn,Kathryn Bigelow,m
Sanjay Talwar,Mira Nair,m
Sanjay Talwar,Amy Heckerling,m
Bill Lake,Mira Nair,m
Bill Lake,Susan Seidelman,m
Bill Lake,Claudia Weill,m
Michael Harris,Mira Nair,m
Michael Harris,Cheryl Dunye,m
Goldy Notay,Mira Nair,f
Goldy Notay,Gurinder Chadha,f
Peter Graham,Mira Nair,m
Peter Graham,Kathryn Bigelow,m
Tannis Burnett,Mira Nair,f
Tannis Burnett,Euzhan Palcy,f
Damir Andrei,Mira Nair,m
Damir Andrei,Euzhan Palcy,m
Damir Andrei,Kasi Lemmons,m
Denzel Washington,Mira Nair,m
Denzel Washington,Penny Marshall,m
Sarita Choudhury,Mira Nair,f
Sarita Choudhury,Julie Dash,f
Sarita Choudhury,Lisa Cholodenko,f
Roshan Seth,Mira Nair,m
Roshan Seth,Gurinder Chadha,m
Charles S. Dutton,Mira Nair,m
Charles S. Dutton,Dee Rees,m
Sam Sherrill,Mira Nair,m
Sam Sherrill,Martha Coolidge,m
David Oyelowo,Mira Nair,m
David Oyelowo,Ava DuVernay,m
David Oyelowo,Sally Potter,m
Lupita Nyong'o,Mira Nair,f
Lupita Nyong'o,Ava DuVernay,f
Joel Okuyo Atiku Prynce,Mira Nair,m
Joel Okuyo Atiku Prynce,Rungano Nyoni,m
Nigist Anteneh,Mira Nair,f
Nigist Anteneh,Jane Campion,f
Tefera Gizaw,Mira Nair,m
Tefera Gizaw,Jane Campion,m
Fekadu Kebede,Mira Nair,m
Fekadu Kebede,Jane Campion,m
Ingvar Sigurdsson,Mira Nair,m
Ingvar Sigurdsson,Jane Campion,m
Ingvar Sigurdsson,Kathryn Bigelow,m
Hringur Ingvarsson,Mira Nair,m
Hringur Ingvarsson,Jane Campion,m
Dieudonne Ilboudo,Mira Nair,m
Dieudonne Ilboudo,Jane Campion,m
Konkona Sen Sharma,Mira Nair,f
Konkona Sen Sharma,Jane Campion,f
Ranvir Shorey,Mira Nair,m
Ranvir Shorey,Jane Campion,m
Birsa Chatterjee,Mira Nair,m
Birsa Chatterjee,Jane Campion,m
Alice Englert,Mira Nair,f
Alice Englert,Jane Campion,f
Alice Englert,Sally Potter,f
Tintin Marova Kelly,Mira Nair,f
Tintin Marova Kelly,Jane Campion,f
Isidore Tillers,Mira Nair,f
Isidore Tillers,Jane Campion,f
Harry Greenwood,Mira Nair,m
Harry Greenwood,Jane Campion,m
Harry Greenwood,Jennifer Kent,m
Geneviève Lemon,Mira Nair,f
Geneviève Lemon,Jane Campion,f
Miranda Jakich,Mira Nair,f
Miranda Jakich,Jane Campion,f
Justine Clarke,Mira Nair,f
Justine Clarke,Jane Campion,f
Russell Dykstra,Mira Nair,m
Russell Dykstra,Jane Campion,m
Ian Abdulla,Mira Nair,m
Ian Abdulla,Jane Campion,m
Di Adams,Mira Nair,f
Di Adams,Jane Campion,f
Chris Haywood,Mira Nair,m
Chris Haywood,Jane Campion,m
Chris Haywood,Gillian Armstrong,m
Clayton Jacobson,Mira Nair,m
Clayton Jacobson,Jane Campion,m
Loydi Hucshva Haynas,Mira Nair,f
Loydi Hucshva Haynas,Jane Campion,f
Olivia Aravelo Lomos,Mira Nair,f
Olivia Aravelo Lomos,Jane Campion,f
Denis Rafael Barbaran,Mira Nair,m
Denis Rafael Barbaran,Jane Campion,m
Auristela Brito Valles,Mira Nair,f
Auristela Brito Valles,Jane Campion,f
Pendo Duku,Mira Nair,m
Pendo Duku,Jane Campion,m
Tsehaie Kidane,Mira Nair,f
Tsehaie Kidane,Jane Campion,f
Megan Gay,Mira Nair,f
Megan Gay,Jane Campion,f
Megan Gay,Lana Wachowski,f
Megan Gay,Lilly Wachowski,f
Megan Gay,Karyn Kusama,f
Bhasker Patel,Mira Nair,m
Bhasker Patel,Jane Campion,m
Robert Seeliger,Mira Nair,m
Robert Seeliger,Jane Campion,m
Ian T. Dickinson,Mira Nair,m
Ian T. Dickinson,Jane Campion,m
Tomas Spencer,Mira Nair,m
Tomas Spencer,Jane Campion,m
Gerhard Gutberlet,Mira Nair,m
Gerhard Gutberlet,Jane Campion,m
Aminata M. Kalokoh,Mira Nair,f
Aminata M. Kalokoh,Jane Campion,f
Mena Z. Kalokoh,Mira Nair,f
Mena Z. Kalokoh,Jane Campion,f
Augusto Aguilera,Mira Nair,m
Augusto Aguilera,Jane Campion,m
Aba Arthur,Mira Nair,f
Aba Arthur,Jane Campion,f
Bob Geldof,Mira Nair,m
Bob Geldof,Jane Campion,m
Melissa Butts,Mira Nair,f
Melissa Butts,Jane Campion,f
Campino,Mira Nair,m
Campino,Jane Campion,m
Lavetta Cannon,Mira Nair,f
Lavetta Cannon,Jane Campion,f
Luis Fernandez-Gil,Mira Nair,m
Luis Fernandez-Gil,Jane Campion,m
Herbert Grönemeyer,Mira Nair,m
Herbert Grönemeyer,Jane Campion,m
Yolanda Hester,Mira Nair,f
Yolanda Hester,Jane Campion,f
Michael Lehr,Mira Nair,m
Michael Lehr,Jane Campion,m
Michael Lehr,Martha Coolidge,m
Angela Malhotra,Mira Nair,f
Angela Malhotra,Jane Campion,f
Marta Cross,Mira Nair,f
Marta Cross,Jane Campion,f
Vanessa Paul,Mira Nair,f
Vanessa Paul,Jane Campion,f
ShaiFali,Mira Nair,f
ShaiFali,Jane Campion,f
Kaius Harrison,Mira Nair,m
Kaius Harrison,Jane Campion,m
Charlie Charles,Mira Nair,f
Charlie Charles,Jane Campion,f
Rodney Charles,Mira Nair,m
Rodney Charles,Jane Campion,m
Constance Ejuma,Mira Nair,f
Constance Ejuma,Jane Campion,f
Constance Ejuma,Allison Anders,f
Susanne Geier,Mira Nair,f
Susanne Geier,Jane Campion,f
Grace Matias,Mira Nair,f
Grace Matias,Jane Campion,f
Pendo Nyinondi,Mira Nair,f
Pendo Nyinondi,Jane Campion,f
Jessica Shelby,Mira Nair,f
Jessica Shelby,Jane Campion,f
Jennifer Popagain,Mira Nair,f
Jennifer Popagain,Jane Campion,f
George W. Bush,Mira Nair,m
George W. Bush,Barbara Kopple,m
George W. Bush,Kirsten Johnson,m
Demián Bichir,Mira Nair,m
Demián Bichir,Martha Coolidge,m
Jorge A. Jimenez,Mira Nair,m
Jorge A. Jimenez,Martha Coolidge,m
Alfred Molina,Mira Nair,m
Alfred Molina,Jennifer Lee,m
Anjelica Huston,Mira Nair,f
Anjelica Huston,Andrea Arnold,f
Anjelica Huston,Marielle Heller,f
Anjelica Huston,Martha Coolidge,f
Trini Alvarado,Mira Nair,f
Trini Alvarado,Gillian Armstrong,f
Trini Alvarado,Claudia Weill,f
Celia Cruz,Mira Nair,f
Celia Cruz,Gillian Armstrong,f
Ellen Cleghorne,Mira Nair,f
Ellen Cleghorne,Donna Deitch,f
Angela Lanza,Mira Nair,f
Angela Lanza,Donna Deitch,f
Lázaro Pérez,Mira Nair,m
Lázaro Pérez,Gillian Armstrong,m
Lázaro Pérez,Susan Seidelman,m
Ruben Rabasa,Mira Nair,m
Ruben Rabasa,Gillian Armstrong,m
Roberto Escobar,Mira Nair,m
Roberto Escobar,Gillian Armstrong,m
Norman Max Maxwell,Mira Nair,m
Norman Max Maxwell,Barbra Streisand,m
Marc Macaulay,Mira Nair,m
Marc Macaulay,Patty Jenkins,m
Mel Gorham,Mira Nair,f
Mel Gorham,Penny Marshall,f
Jimmy Carter,Mira Nair,m
Jimmy Carter,Barbara Kopple,m
Fidel Castro,Mira Nair,m
Fidel Castro,Agnes Varda,m
Fidel Castro,Susan Seidelman,m
Sheila Korsi,Mira Nair,f
Sheila Korsi,Kelly Reichardt,f
Riz Ahmed,Mira Nair,m
Riz Ahmed,Sally Potter,m
Riz Ahmed,Claudia Weill,m
Kate Hudson,Mira Nair,f
Kate Hudson,Donna Deitch,f
Liev Schreiber,Mira Nair,m
Liev Schreiber,Nicole Holofcener,m
Om Puri,Mira Nair,m
Om Puri,Gurinder Chadha,m
Shabana Azmi,Mira Nair,f
Shabana Azmi,Gurinder Chadha,f
Haluk Bilginer,Mira Nair,m
Haluk Bilginer,Elaine May,m
Christopher Nicholas Smith,Mira Nair,m
Christopher Nicholas Smith,Nicole Holofcener,m
Ismail Bashey,Mira Nair,m
Ismail Bashey,Cheryl Dunye,m
Clayton Landey,Mira Nair,m
Clayton Landey,Martha Coolidge,m
Uzimann,Mira Nair,m
Uzimann,Kasi Lemmons,m
Uzimann,Nicole Holofcener,m
Karen Valero,Mira Nair,f
Karen Valero,Patricia Cardoso,f
Natasha Rastogi,Mira Nair,f
Natasha Rastogi,Lana Wachowski,f
Natasha Rastogi,Lilly Wachowski,f
Cherry Jones,Mira Nair,f
Cherry Jones,Andrea Arnold,f
Cherry Jones,Marielle Heller,f
Cherry Jones,Sally Potter,f
Mia Wasikowska,Mira Nair,f
Mia Wasikowska,Lisa Cholodenko,f
Aaron Abrams,Mira Nair,m
Aaron Abrams,Sarah Polley,m
Richard Donat,Mira Nair,m
Richard Donat,Kathryn Bigelow,m
Derek Keurvorst,Mira Nair,m
Derek Keurvorst,Gillian Armstrong,m
Thomas Hauff,Mira Nair,m
Thomas Hauff,Sarah Polley,m
Precious Chong,Mira Nair,f
Precious Chong,Allison Anders,f
Kathryn Haggis,Mira Nair,f
Kathryn Haggis,Claudia Weill,f
Karissa Strain,Mira Nair,f
Karissa Strain,Kimberly Peirce,f
Katie Strain,Mira Nair,f
Katie Strain,Kimberly Peirce,f
Uma Thurman,Mira Nair,f
Uma Thurman,Kathryn Bigelow,f
Uma Thurman,Lisa Cholodenko,f
Gena Rowlands,Mira Nair,f
Gena Rowlands,Marjane Satrapi,f
Gena Rowlands,Gurinder Chadha,f
Gena Rowlands,Claudia Weill,f
Gena Rowlands,Ida Lupino,f
Gena Rowlands,Joan Micklin Silver,f
Gena Rowlands,Martha Coolidge,f
Juliette Lewis,Mira Nair,f
Juliette Lewis,Kathryn Bigelow,f
Juliette Lewis,Susan Seidelman,f
Juliette Lewis,Allison Anders,f
Ben Gazzara,Mira Nair,m
Ben Gazzara,Gurinder Chadha,m
Callie Thorne,Mira Nair,f
Callie Thorne,Barbara Kopple,f
Callie Thorne,Kathryn Bigelow,f
Callie Thorne,Lisa Cholodenko,f
Johann Carlo,Mira Nair,f
Johann Carlo,Gina Prince-Bythewood,f
Jayne Haynes,Mira Nair,f
Jayne Haynes,Penny Marshall,f
Jayne Haynes,Joan Micklin Silver,f
Ali Marsh,Mira Nair,f
Ali Marsh,Barbra Streisand,f
Wade Mylius,Mira Nair,m
Wade Mylius,Penny Marshall,m
Gabriel Byrne,Mira Nair,m
Gabriel Byrne,Gillian Armstrong,m
John Franklyn-Robbins,Mira Nair,m
John Franklyn-Robbins,Marleen Gorris,m
Rhys Ifans,Mira Nair,m
Rhys Ifans,Susanne Bier,m
Jonathan Rhys Meyers,Mira Nair,m
Jonathan Rhys Meyers,Gurinder Chadha,m
Charlie Beall,Mira Nair,m
Charlie Beall,Karyn Kusama,m
Bob Hoskins,Mira Nair,m
Bob Hoskins,Gurinder Chadha,m
Douglas Hodge,Mira Nair,m
Douglas Hodge,Susanne Bier,m
Natasha Little,Mira Nair,f
Natasha Little,Susanne Bier,f
Jim Broadbent,Mira Nair,m
Jim Broadbent,Lana Wachowski,m
Jim Broadbent,Lilly Wachowski,m
Gabrielle Lloyd,Mira Nair,f
Gabrielle Lloyd,Joanna Hogg,f
Tom Beard,Mira Nair,m
Tom Beard,Joanna Hogg,m
Kelly Hunter,Mira Nair,f
Kelly Hunter,Marleen Gorris,f
Richard McCabe,Mira Nair,m
Richard McCabe,Dee Rees,m
Gary Bunn,Mira Nair,m
Gary Bunn,Gillian Armstrong,m
Kal Penn,Mira Nair,m
Kal Penn,Debra Granik,m
Brooke Smith,Mira Nair,f
Brooke Smith,Barbara Kopple,f
Brooke Smith,Jane Campion,f
Brooke Smith,Donna Deitch,f
Brooke Smith,Lisa Cholodenko,f
Linus Roache,Mira Nair,m
Linus Roache,Kathryn Bigelow,m
Dan McCabe,Mira Nair,m
Dan McCabe,Marielle Heller,m
Daniel Gerroll,Mira Nair,m
Daniel Gerroll,Susan Seidelman,m
Daniel Gerroll,Allison Anders,m
Daniel Gerroll,Joan Micklin Silver,m
Daniel Gerroll,Martha Coolidge,m
Daniel Gerroll,Nicole Holofcener,m
Amy Wright,Mira Nair,f
Amy Wright,Claudia Weill,f
Amy Wright,Joan Micklin Silver,f
Amy Wright,Martha Coolidge,f
Amy Wright,Nicole Holofcener,f
Gretchen Egolf,Mira Nair,f
Gretchen Egolf,Catherine Hardwick,f
Jeb Brown,Mira Nair,m
Jeb Brown,Penny Marshall,m
Sebastian Roché,Mira Nair,m
Sebastian Roché,Donna Deitch,m
Sebastian Roché,Karyn Kusama,m
Marcus Collins,Mira Nair,m
Marcus Collins,Susan Seidelman,m
Hayden Christensen,Mira Nair,m
Hayden Christensen,Sofia Coppola,m
Natalie Portman,Mira Nair,f
Natalie Portman,Sofia Coppola,f
Natalie Portman,Gina Prince-Bythewood,f
Natalie Portman,Gurinder Chadha,f
Natalie Portman,Martha Coolidge,f
Christina Ricci,Mira Nair,f
Christina Ricci,Lana Wachowski,f
Christina Ricci,Lilly Wachowski,f
Christina Ricci,Patty Jenkins,f
Christina Ricci,Sally Potter,f
Chris Cooper,Mira Nair,m
Chris Cooper,Greta Gerwig,m
Chris Cooper,Marielle Heller,m
Anton Yelchin,Mira Nair,m
Anton Yelchin,Martha Coolidge,m
Olivia Thirlby,Mira Nair,f
Olivia Thirlby,Nicole Holofcener,f
Blake Lively,Mira Nair,f
Blake Lively,Amy Heckerling,f
Bradley Cooper,Mira Nair,m
Bradley Cooper,Donna Deitch,m
Bradley Cooper,Susanne Bier,m
Julie Christie,Mira Nair,f
Julie Christie,Sally Potter,f
Julie Christie,Sarah Polley,f
Julie Christie,Catherine Hardwick,f
Shia LaBeouf,Mira Nair,m
Shia LaBeouf,Andrea Arnold,m
Eli Wallach,Mira Nair,m
Eli Wallach,Barbara Kopple,m
Eli Wallach,Elaine May,m
Eli Wallach,Claudia Weill,m
Eli Wallach,Nancy Meyers,m
Cloris Leachman,Mira Nair,f
Cloris Leachman,Penelope Spheeris,f
Emilie Ohana,Mira Nair,f
