actor,director,gender
Julian Gamble,Ava DuVernay,m
Julian Gamble,Dee Rees,m
Lars Mikkelsen,Agnieszka Holland,m
Lars Mikkelsen,Rungano Nyoni,m
Corey Stoll,Agnieszka Holland,m
Corey Stoll,Mary Harron,m
Corey Stoll,Niki Caro,m
Corey Stoll,Claudia Weill,m
Colm Feore,Agnieszka Holland,m
Colm Feore,Kasi Lemmons,m
Patricia Clarkson,Agnieszka Holland,f
Patricia Clarkson,Mary Harron,f
Patricia Clarkson,Donna Deitch,f
Patricia Clarkson,Lisa Cholodenko,f
Patricia Clarkson,Patty Jenkins,f
Patricia Clarkson,Penelope Spheeris,f
Patricia Clarkson,Sally Potter,f
Patricia Clarkson,Nicole Holofcener,f
Zoe Saldana,Agnieszka Holland,f
Zoe Saldana,Mary Harron,f
Patrick J. Adams,Agnieszka Holland,m
Patrick J. Adams,Sally Potter,m
Carole Bouquet,Agnieszka Holland,f
Carole Bouquet,Claire Denis,f
Carole Bouquet,Chantal Akerman,f
Christina Cole,Agnieszka Holland,f
Christina Cole,Lana Wachowski,f
Christina Cole,Lilly Wachowski,f
Jason Isaacs,Agnieszka Holland,m
Jason Isaacs,Nicole Holofcener,m
Joseph Malerba,Agnieszka Holland,m
Joseph Malerba,Sofia Coppola,m
Agathe Anquez,Agnieszka Holland,f
Agathe Anquez,Céline Sciamma,f
Féodor Atkine,Agnieszka Holland,m
Féodor Atkine,Chantal Akerman,m
Joe Sheridan,Agnieszka Holland,m
Joe Sheridan,Sofia Coppola,m
Marie Piémontèse,Agnieszka Holland,f
Marie Piémontèse,Agnes Varda,f
Weronika Rosati,Agnieszka Holland,f
Weronika Rosati,Martha Coolidge,f
Édith Le Merdy,Agnieszka Holland,f
Édith Le Merdy,Jane Campion,f
Krzysztof Globisz,Agnieszka Holland,m
Krzysztof Globisz,Marleen Gorris,m
Zbigniew Zamachowski,Agnieszka Holland,m
Zbigniew Zamachowski,Marleen Gorris,m
Agnieszka Mandat,Agnieszka Holland,f
Agnieszka Mandat,Marleen Gorris,f
Sean Penn,Agnieszka Holland,m
Sean Penn,Amy Heckerling,m
Sean Penn,Kathryn Bigelow,m
Sean Penn,Marjane Satrapi,m
Natascha McElhone,Agnieszka Holland,f
Natascha McElhone,Lisa Cholodenko,f
Natascha McElhone,Marleen Gorris,f
LisaGay Hamilton,Agnieszka Holland,f
LisaGay Hamilton,Allison Anders,f
Hannah Ware,Agnieszka Holland,f
Hannah Ware,Patty Jenkins,f
Keiko Agena,Agnieszka Holland,f
Keiko Agena,Lisa Cholodenko,f
Keiko Agena,Nicole Holofcener,f
James Ransone,Agnieszka Holland,m
James Ransone,Catherine Hardwick,m
T.C. Matherne,Agnieszka Holland,m
