film,director,maleactors,femaleactors
Masters of Sex,Karyn Kusama,27,23
Chicago Fire,Karyn Kusama,31,19
The L Word,Karyn Kusama,16,34
Jennifer's Body,Karyn Kusama,32,38
Destroyer,Karyn Kusama,30,13
Speechless,Karyn Kusama,8,2
Self Made: Inspired by the Life of Madam C.J. Walker,Kasi Lemmons,22,28
Luke Cage,Kasi Lemmons,33,17
The Caveman's Valentine,Kasi Lemmons,39,11
Black Nativity,Kasi Lemmons,56,36
Eve's Bayou,Kasi Lemmons,11,18
Shots Fired,Kasi Lemmons,35,15
Dr. Hugo,Kasi Lemmons,2,5
Harriet,Kasi Lemmons,70,29
The Cruz Brothers and Miss Malloy,Kathleen Collins II,7,6
Losing Ground,Kathleen Collins II,10,8
Ode,Kelly Reichardt,7,3
Meek's Cutoff,Kelly Reichardt,6,3
Night Moves,Kelly Reichardt,28,10
First Cow,Kelly Reichardt,24,2
Wendy and Lucy,Kelly Reichardt,25,13
Certain Women,Kelly Reichardt,10,11
Old Joy,Kelly Reichardt,5,7
River of Grass,Kelly Reichardt,32,12
Innocent Until Proven Guilty,Kirsten Johnson,1,0
Dick Johnson Is Dead,Kirsten Johnson,1,3
Deadline,Kirsten Johnson,24,5
Cameraperson,Kirsten Johnson,2,1
Field of Vision,Kirsten Johnson,7,1
Here and Now,Lisa Cholodenko,26,24
High Art,Lisa Cholodenko,7,11
Hung,Lisa Cholodenko,24,26
"Push, Nevada",Lisa Cholodenko,39,11
Cavedweller,Lisa Cholodenko,16,20
Olive Kitteridge,Lisa Cholodenko,24,26
Homicide: Life on the Street,Lisa Cholodenko,33,17
The Slap,Lisa Cholodenko,27,23
Six Feet Under,Lisa Cholodenko,28,22
Unbelievable,Lisa Cholodenko,26,24
The Kids Are All Right,Lisa Cholodenko,11,10
The L Word,Lisa Cholodenko,16,34
Laurel Canyon,Lisa Cholodenko,23,17
Magazine for Fai,Lucrecia Martel,9,7
No te la llevarás maldito,Lucrecia Martel,2,1
Zama,Lucrecia Martel,39,17
Historias Breves 1,Lucrecia Martel,36,9
New Argirópolis,Lucrecia Martel,34,24
The Empty Classroom,Lucrecia Martel,1,1
Las dependencias,Lucrecia Martel,5,2
Dead King,Lucrecia Martel,3,1
The Holy Girl,Lucrecia Martel,23,18
La otra,Lucrecia Martel,4,0
Leguas,Lucrecia Martel,9,9
La Ciénaga,Lucrecia Martel,7,8
"25 miradas, 200 minutos",Lucrecia Martel,32,18
The Headless Woman,Lucrecia Martel,4,6
Mabel's Strange Predicament,Mabel Normand,8,3
Mabel's Bear Escape,Mabel Normand,1,1
Mabel and Fatty Viewing the World's Fair at San Francisco,Mabel Normand,2,2
Mabel's Nerve,Mabel Normand,2,1
Caught in a Cabaret,Mabel Normand,19,7
Mabel's Stormy Love Affair,Mabel Normand,1,1
Won in a Closet,Mabel Normand,8,2
Mabel at the Wheel,Mabel Normand,17,4
Love and Gasoline,Mabel Normand,1,2
A Beautiful Day in the Neighborhood,Marielle Heller,59,36
The Diary of a Teenage Girl,Marielle Heller,38,25
Can You Ever Forgive Me?,Marielle Heller,35,28
Casual,Marielle Heller,20,30
Transparent,Marielle Heller,20,30
Galveston,Mélanie Laurent,35,15
Tomorrow,Mélanie Laurent,15,8
X Femmes,Mélanie Laurent,19,31
Breathe,Mélanie Laurent,11,15
Diving,Mélanie Laurent,26,16
The Adopted,Mélanie Laurent,13,12
De moins en moins,Mélanie Laurent,3,2
Another Country,Niki Caro,15,19
Whale Rider,Niki Caro,15,11
"McFarland, USA",Niki Caro,70,27
Dark Stories: Tales from Beyond the Grave,Niki Caro,1,0
Memory & Desire,Niki Caro,13,6
42 One Dream Rush,Niki Caro,4,7
A Heavenly Vintage,Niki Caro,19,10
Mulan,Niki Caro,38,13
Juanes: Juntos,Niki Caro,1,0
North Country,Niki Caro,52,20
Anne with an E,Niki Caro,23,27
Mercy Peak,Niki Caro,29,21
The Zookeeper's Wife,Niki Caro,41,23
Real Women Have Curves,Patricia Cardoso,11,17
Deep Blue Breath,Patricia Cardoso,4,3
Lies in Plain Sight,Patricia Cardoso,12,12
Meddling Mom,Patricia Cardoso,7,5
Tales of the City,Patricia Cardoso,24,26
Party of Five,Patricia Cardoso,18,32
Ro,Patricia Cardoso,6,2
Queen Sugar,Patricia Cardoso,27,23
All Rise,Patricia Cardoso,27,23
In the Dark,Patricia Cardoso,27,23
The Society,Patricia Cardoso,29,21
Emergence,Patricia Cardoso,29,21
El Paseo De Teresa,Patricia Cardoso,10,3
Wonder Woman 1984,Patty Jenkins,122,69
The Killing (2011-2012),Patty Jenkins,31,19
Velocity Rules,Patty Jenkins,4,4
Monster,Patty Jenkins,26,13
I Am the Night,Patty Jenkins,32,18
Betrayal,Patty Jenkins,28,22
Wonder Woman,Patty Jenkins,111,73
Entourage,Patty Jenkins,28,22
Just Drive,Patty Jenkins,3,0
Arrested Development,Patty Jenkins,32,18
Exposed,Patty Jenkins,27,17
Five,Patty Jenkins,22,29
Epilogue: Etta's Mission,Patty Jenkins,3,1
Megadeth: No More Mr. Nice Guy,Penelope Spheeris,3,0
Senseless,Penelope Spheeris,44,15
Uncle Tom's Fairy Tales,Penelope Spheeris,2,0
Danger Theatre,Penelope Spheeris,35,15
Suburbia,Penelope Spheeris,66,23
The Decline of Western Civilization Part III,Penelope Spheeris,11,1
Dudes,Penelope Spheeris,25,8
The Decline of Western Civilization Part II: The Metal Years,Penelope Spheeris,62,55
Cracking Up,Penelope Spheeris,23,27
The Beverly Hillbillies,Penelope Spheeris,50,30
Hollywood Vice Squad,Penelope Spheeris,26,18
Bonfire: Sword & Stone,Penelope Spheeris,5,0
The Kid & I,Penelope Spheeris,18,19
We Sold Our Souls for Rock 'n Roll,Penelope Spheeris,35,2
Dear Doughboy,Penelope Spheeris,3,0
Balls to the Wall,Penelope Spheeris,35,25
UFO Abductions,Penelope Spheeris,3,0
The Boys Next Door,Penelope Spheeris,31,18
Wayne's World,Penelope Spheeris,42,11
Thunder and Mud,Penelope Spheeris,4,6
Hollywierd,Penelope Spheeris,10,5
Rap's Most Wanted,Penelope Spheeris,2,0
Black Sheep,Penelope Spheeris,35,13
Night Ranger: I Did It for Love,Penelope Spheeris,5,0
Visitors from the Unknown,Penelope Spheeris,30,4
Five,Penelope Spheeris,22,29
The Crooked E: The Unshredded Truth About Enron,Penelope Spheeris,29,10
The Little Rascals,Penelope Spheeris,40,16
Prison Stories: Women on the Inside,Penelope Spheeris,3,18
I Don't Know,Penelope Spheeris,3,1
The Real St. Nick,Penelope Spheeris,12,5
"Queen: Bohemian Rhapsody, Wayne's World Version",Penelope Spheeris,7,0
Megadeth: In My Darkest Hour,Penelope Spheeris,5,0
The Decline of Western Civilization,Penelope Spheeris,45,13
Megadeth: Wake Up Dead,Penelope Spheeris,5,0
The Party,Sally Potter,3,4
The Tango Lesson,Sally Potter,29,16
The London Story,Sally Potter,5,1
The Man Who Cried,Sally Potter,42,27
Orlando,Sally Potter,33,12
The Roads Not Taken,Sally Potter,12,13
Thriller,Sally Potter,2,2
Ginger & Rosa,Sally Potter,22,12
The Gold Diggers,Sally Potter,6,10
Rage,Sally Potter,10,4
Yes,Sally Potter,11,12
"Tears, Laughter, Fears and Rage",Sally Potter,5,3
Stories We Tell,Sarah Polley,20,19
Away from Her,Sarah Polley,7,19
The Shields Stories,Sarah Polley,18,7
Take This Waltz,Sarah Polley,17,14
Hey Lady!,Sarah Polley,11,6
Don't Think Twice,Sarah Polley,2,2
I Shout Love,Sarah Polley,2,1
Hide and Seek,Su Friendrich,11,30
The Ties That Bind,Su Friendrich,1,0
Damned If You Don't,Su Friendrich,1,2
I Cannot Tell You How I Feel,Su Friendrich,1,3
A Cooler Climate,Susan Seidelman,18,13
Smithereens,Susan Seidelman,15,14
Stella,Susan Seidelman,26,24
Making Mr. Right,Susan Seidelman,34,18
Power and Beauty,Susan Seidelman,33,13
"Yours Truly, Andrea G. Stern",Susan Seidelman,4,5
The Ranch,Susan Seidelman,20,23
Gaudi Afternoon,Susan Seidelman,19,14
Boynton Beach Club,Susan Seidelman,15,21
Confessions of a Suburban Girl,Susan Seidelman,3,10
The Dutch Master,Susan Seidelman,9,7
Sex and the City,Susan Seidelman,29,21
Early Edition,Susan Seidelman,35,15
Musical Chairs,Susan Seidelman,33,23
She-Devil,Susan Seidelman,23,24
Cookie,Susan Seidelman,49,14
Tales of Erotica,Susan Seidelman,12,7
Desperately Seeking Susan,Susan Seidelman,47,22
The Electric Company (2009-2010),Susan Seidelman,35,15
Cut in Half,Susan Seidelman,1,4
Madonna: Into the Groove,Susan Seidelman,2,2
And You Act Like One Too,Susan Seidelman,5,2
The Barefoot Executive,Susan Seidelman,24,14
Madonna: Celebration - The Video Collection,Susan Seidelman,65,21
The Hot Flashes,Susan Seidelman,31,27
Now and Again,Susan Seidelman,38,12
Slums of Beverly Hills,Tamara Jenkins,13,11
Family Remains,Tamara Jenkins,2,3
Shooting Gallery,Tamara Jenkins,3,5
Private Life,Tamara Jenkins,17,33
"Choices: The Good, the Bad, the Ugly",Tamara Jenkins,2,1
The Savages,Tamara Jenkins,17,27
A Tale of Love,Trinh T. Minh-ha,1,3
Night Passage,Trinh T. Minh-ha,6,1
"Jordan River Anderson, the Messenger",Alanis Obomsawin,5,6
Gene Boy Came Home,Alanis Obomsawin,1,0
When All the Leaves Are Gone,Alanis Obomsawin,2,9
Is the Crown at War with Us?,Alanis Obomsawin,3,1
Poundmaker's Lodge: A Healing Place,Alanis Obomsawin,5,2
Incident at Restigouche,Alanis Obomsawin,2,1
Walker,Alanis Obomsawin,6,2
Kanehsatake: 270 Years of Resistance,Alanis Obomsawin,8,3
Sigwan,Alanis Obomsawin,8,2
Rocks at Whiskey Trench,Alanis Obomsawin,1,1
Richard Cardinal: Cry from a Diary of a Métis Child,Alanis Obomsawin,3,2
Trick or Treaty?,Alanis Obomsawin,3,1
The Affair,Allison Anders,27,23
Southland (2011-2012),Allison Anders,30,20
What About Brian,Allison Anders,25,25
Cold Case,Allison Anders,35,15
Graves,Allison Anders,26,24
Proof,Allison Anders,26,24
Ring of Fire,Allison Anders,23,18
Beaches,Allison Anders,10,14
Men in Trees,Allison Anders,30,20
Sorry for Your Loss,Allison Anders,20,30
Gang Related,Allison Anders,37,13
The Divide,Allison Anders,32,18
Mi vida loca,Allison Anders,36,33
Riverdale,Allison Anders,26,24
Strutter,Allison Anders,5,6
Things Behind the Sun,Allison Anders,26,16
Sugar Town,Allison Anders,16,19
In the Echo,Allison Anders,3,6
Four Rooms,Allison Anders,12,18
Grosse Pointe,Allison Anders,26,24
The Mentalist,Allison Anders,32,18
Orange Is the New Black,Allison Anders,11,39
Grace of My Heart,Allison Anders,30,36
Murder in the First (2014-2016),Allison Anders,33,17
The L Word,Allison Anders,16,34
Sex and the City (1999-2000),Allison Anders,29,21
Time After Time,Allison Anders,33,17
Mystery Girl,Allison Anders,11,10
Gas Food Lodging,Allison Anders,19,21
Mayans M.C.,Allison Anders,38,12
Border Radio,Allison Anders,9,5
TURN: Washington's Spies,Allison Anders,41,9
Fucking Different New York,Barbara Hammer,14,10
Resisting Paradise,Barbara Hammer,7,9
Nitrate Kisses,Barbara Hammer,4,8
History Lessons,Barbara Hammer,2,5
My Babushka: Searching Ukranian Identities,Barbara Hammer,4,15
Devotion: A Film About Ogawa Productions,Barbara Hammer,17,12
Lover Other: The Story of Claude Cahun and Marcel Moore,Barbara Hammer,1,1
Audience,Barbara Hammer,1,3
There's a Place,Catherine Hardwick,2,1
Miss Bala,Catherine Hardwick,30,11
Eyewitness,Catherine Hardwick,30,20
Til It Happens to You,Catherine Hardwick,9,9
Twilight,Catherine Hardwick,32,17
The Black Ghiandola,Catherine Hardwick,10,6
Hell on Wheels,Catherine Hardwick,42,8
Reckless,Catherine Hardwick,31,19
Low Winter Sun,Catherine Hardwick,35,15
Eye Candy,Catherine Hardwick,26,24
Plush,Catherine Hardwick,15,12
Red Riding Hood,Catherine Hardwick,26,18
Lords of Dogtown,Catherine Hardwick,79,27
We the Economy: 20 Short Films You Can't Afford to Miss,Catherine Hardwick,10,5
The Nativity Story,Catherine Hardwick,26,18
The Lost Boys,Catherine Hardwick,2,3
Miss You Already,Catherine Hardwick,26,30
Thirteen,Catherine Hardwick,19,19
This Is Us (2018-2020),Catherine Hardwick,26,24
Once and Again (1999-2001),Claudia Weill,26,24
Nothing Sacred,Claudia Weill,33,17
Giving Up the Ghost,Claudia Weill,17,10
Chicago Hope,Claudia Weill,24,26
Caroline in the City,Claudia Weill,32,18
A Child Lost Forever: The Jerry Sherwood Story,Claudia Weill,21,17
Birdland,Claudia Weill,29,14
Johnny Bull,Claudia Weill,8,5
Critical Choices,Claudia Weill,28,30
Thirtysomething (1987-1989),Claudia Weill,22,28
Once a Hero,Claudia Weill,29,10
Fast Times,Claudia Weill,19,5
Face of a Stranger,Claudia Weill,21,13
My So-Called Life,Claudia Weill,19,31
The Twilight Zone,Claudia Weill,35,15
Girls,Claudia Weill,28,22
ABC Afterschool Specials,Claudia Weill,22,28
WIOU,Claudia Weill,31,19
Girlfriends,Claudia Weill,11,13
It's My Turn,Claudia Weill,55,9
Ramy,Desiree Akhavan,31,19
The Miseducation of Cameron Post,Desiree Akhavan,36,27
The Slope (2010-2012),Desiree Akhavan,4,5
Briarpatch,Desiree Akhavan,32,18
Appropriate Behavior,Desiree Akhavan,15,24
The Bisexual,Desiree Akhavan,24,18
Nose Job,Desiree Akhavan,2,0
Climax!,Ida Lupino,33,17
Alfred Hitchcock Presents (1960-1961),Ida Lupino,39,11
Kraft Suspense Theatre,Ida Lupino,41,9
The Virginian,Ida Lupino,45,5
The Hitch-Hiker,Ida Lupino,26,3
Bewitched,Ida Lupino,33,17
Teenage Idol,Ida Lupino,3,3
The Untouchables (1962-1963),Ida Lupino,49,1
Gilligan's Island (1964-1966),Ida Lupino,42,8
Dante,Ida Lupino,25,25
Hong Kong,Ida Lupino,32,18
On Dangerous Ground,Ida Lupino,48,14
The Donna Reed Show,Ida Lupino,30,20
The Fugitive (1963-1964),Ida Lupino,41,9
Hotel de Paree (1959-1960),Ida Lupino,44,6
The Trouble with Angels,Ida Lupino,5,32
General Electric Theater (1961-1962),Ida Lupino,31,19
The Rogues (1964-1965),Ida Lupino,35,15
Screen Directors Playhouse,Ida Lupino,38,12
Mr. Adams and Eve,Ida Lupino,34,16
The Joseph Cotten Show: On Trial,Ida Lupino,40,10
Daniel Boone,Ida Lupino,48,2
The Twilight Zone,Ida Lupino,44,6
Dundee and the Culhane,Ida Lupino,45,5
The Bigamist,Ida Lupino,21,6
Thriller (1961-1962),Ida Lupino,33,17
Never Fear,Ida Lupino,8,3
Breaking Point,Ida Lupino,22,28
The Ghost & Mrs. Muir,Ida Lupino,36,14
77 Sunset Strip,Ida Lupino,31,19
Dr. Kildare,Ida Lupino,29,21
Outrage,Ida Lupino,22,8
Sam Benedict (1962-1963),Ida Lupino,38,12
Tate,Ida Lupino,40,10
Not Wanted,Ida Lupino,13,11
Karen,Ida Lupino,38,12
The Rifleman,Ida Lupino,44,6
"Hard, Fast and Beautiful!",Ida Lupino,25,6
Mr. Novak (1963-1965),Ida Lupino,33,17
Bob Hope Presents the Chrysler Theatre,Ida Lupino,43,7
Frozen Fever,Jennifer Lee,5,6
Frozen II,Jennifer Lee,35,28
Frozen,Jennifer Lee,40,28
Finnegan Begin Again,Joan Micklin Silver,19,10
Loverboy,Joan Micklin Silver,29,25
Chilly Scenes of Winter,Joan Micklin Silver,8,12
Bernice Bobs Her Hair,Joan Micklin Silver,8,6
Charms for the Easy Life,Joan Micklin Silver,27,20
Crossing Delancey,Joan Micklin Silver,31,34
Hester Street,Joan Micklin Silver,16,9
Invisible Child,Joan Micklin Silver,8,10
A Fish in the Bathtub,Joan Micklin Silver,28,16
A Private Matter,Joan Micklin Silver,31,15
How to Be a Perfect Person in Just Three Days,Joan Micklin Silver,12,9
Hunger Point,Joan Micklin Silver,14,19
In the Presence of Mine Enemies,Joan Micklin Silver,18,6
Big Girls Don't Cry... They Get Even,Joan Micklin Silver,25,12
Between the Lines,Joan Micklin Silver,22,12
Sisters,Joan Micklin Silver,31,19
The Case of the Elevator Duck,Joan Micklin Silver,3,2
Prison Stories: Women on the Inside,Joan Micklin Silver,3,18
The Immigrant Experience: The Long Long Journey,Joan Micklin Silver,5,5
Exhibition,Joanna Hogg,4,3
Caprice,Joanna Hogg,1,1
The Souvenir,Joanna Hogg,30,18
The Souvenir: Part II,Joanna Hogg,9,7
Network 7,Joanna Hogg,8,5
Vicious Circle,Joanna Hogg,1,1
Archipelago,Joanna Hogg,4,3
Staying Alive,Joanna Hogg,21,29
Casualty (1997-1998),Joanna Hogg,25,25
London's Burning,Joanna Hogg,31,19
EastEnders: Dot's Story,Joanna Hogg,5,5
Reach for the Moon,Joanna Hogg,23,12
Unrelated,Joanna Hogg,12,10
Stop-Loss,Kimberly Peirce,69,25
The L Word,Kimberly Peirce,16,34
Kidding,Kimberly Peirce,28,22
Six (2017-2018),Kimberly Peirce,32,18
Manhattan,Kimberly Peirce,37,13
Halt and Catch Fire (2015-2016),Kimberly Peirce,32,18
TURN: Washington's Spies,Kimberly Peirce,41,9
Game of Silence,Kimberly Peirce,30,20
I Love Dick,Kimberly Peirce,25,25
American Crime,Kimberly Peirce,30,20
Dear White People (2018-2019),Kimberly Peirce,29,21
The Last Good Breath,Kimberly Peirce,1,0
Boys Don't Cry,Kimberly Peirce,2,4
Carrie,Kimberly Peirce,24,31
The L Word,Marleen Gorris,16,34
Rembrandt en ik,Marleen Gorris,35,14
Mrs Dalloway,Marleen Gorris,23,20
The Luzhin Defence,Marleen Gorris,16,4
Verhalen van de straat,Marleen Gorris,19,19
Gebroken spiegels,Marleen Gorris,19,15
Within the Whirlwind,Marleen Gorris,32,21
Carolina,Marleen Gorris,31,25
The Last Island,Marleen Gorris,5,2
Antonia's Line,Marleen Gorris,39,28
A Question of Silence,Marleen Gorris,17,10
De geest van gras,Marleen Gorris,5,4
Material Girls,Martha Coolidge,30,34
The Glades,Martha Coolidge,31,19
Madam Secretary,Martha Coolidge,29,21
Tribute,Martha Coolidge,20,11
The Twilight Zone (1985-1987),Martha Coolidge,35,15
Lost in Yonkers,Martha Coolidge,15,6
Drop Dead Diva,Martha Coolidge,28,22
The Night Shift,Martha Coolidge,27,23
Bimbo,Martha Coolidge,4,0
If These Walls Could Talk 2,Martha Coolidge,5,24
Weeds,Martha Coolidge,27,23
Hidden Hills,Martha Coolidge,24,26
David: Off and On,Martha Coolidge,3,2
The Ponder Heart,Martha Coolidge,17,12
An American Girl: Chrissa Stands Strong,Martha Coolidge,7,15
Out to Sea,Martha Coolidge,41,23
Angie,Martha Coolidge,24,35
Angie Tribeca,Martha Coolidge,27,23
Sledge Hammer!,Martha Coolidge,32,18
CBS Summer Playhouse,Martha Coolidge,36,14
Joy of Sex,Martha Coolidge,19,18
Rambling Rose,Martha Coolidge,16,4
Winners,Martha Coolidge,8,9
Crazy in Love,Martha Coolidge,15,12
Sex and the City,Martha Coolidge,29,21
The City Girl,Martha Coolidge,9,11
The Unknown,Martha Coolidge,25,13
I'll Find You,Martha Coolidge,34,20
Not a Pretty Picture,Martha Coolidge,6,6
Siren,Martha Coolidge,26,24
Killer Women,Martha Coolidge,30,20
Psych,Martha Coolidge,37,13
Leap Years,Martha Coolidge,32,18
The Prince and Me,Martha Coolidge,35,23
The Twelve Days of Christmas Eve,Martha Coolidge,16,9
Three Wishes,Martha Coolidge,60,14
Related,Martha Coolidge,27,23
Huff,Martha Coolidge,25,25
Plain Clothes,Martha Coolidge,32,17
Valley Girl,Martha Coolidge,20,16
The Flamingo Rising,Martha Coolidge,15,8
Real Genius,Martha Coolidge,43,22
Girls Club,Martha Coolidge,26,22
Shark,Martha Coolidge,35,15
Bare Essentials,Martha Coolidge,6,5
Trenchcoat in Paradise,Martha Coolidge,13,7
The Intern,Nancy Meyers,55,67
Something's Gotta Give,Nancy Meyers,27,54
What Women Want,Nancy Meyers,25,91
It's Complicated,Nancy Meyers,51,43
The Holiday,Nancy Meyers,37,30
Walmart: The Box,Nancy Meyers,4,1
The Parent Trap,Nancy Meyers,20,42
L.A. Doctors,Nicole Holofcener,29,21
Bored to Death,Nicole Holofcener,27,23
Sex and the City (1998-2000),Nicole Holofcener,29,21
Leap of Faith,Nicole Holofcener,27,22
Inside Amy Schumer,Nicole Holofcener,32,18
Unbreakable Kimmy Schmidt,Nicole Holofcener,29,21
Lovely & Amazing,Nicole Holofcener,20,23
Please Give,Nicole Holofcener,21,24
Walking and Talking,Nicole Holofcener,13,14
Enlightened (2011-2013),Nicole Holofcener,25,25
Orange Is the New Black,Nicole Holofcener,11,39
Cold Feet,Nicole Holofcener,21,26
Friends with Money,Nicole Holofcener,25,20
Togetherness,Nicole Holofcener,25,25
The Land of Steady Habits,Nicole Holofcener,18,13
Enough Said,Nicole Holofcener,14,19
I Hate That I Love You,Nicole Holofcener,2,11
Mrs. Fletcher,Nicole Holofcener,31,19
One Mississippi (2015-2016),Nicole Holofcener,23,27
Six Feet Under (2003-2004),Nicole Holofcener,28,22
Parks and Recreation (2011-2013),Nicole Holofcener,33,17
Gilmore Girls,Nicole Holofcener,33,17
The Secret of Kells,Nora Twomey,13,6
Backwards Boy,Nora Twomey,1,0
The Breadwinner,Nora Twomey,17,5
Nordic Factory,Rungano Nyoni,3,1
I Am Not A Witch,Rungano Nyoni,71,55
Africa First: Volume Two,Rungano Nyoni,9,2
Listen,Rungano Nyoni,3,4
The List,Rungano Nyoni,7,3
Twenty Questions,Rungano Nyoni,1,3
Dance in the Sun,Shirley Clarke,1,1
The Connection,Shirley Clarke,12,2
Robert Frost: A Lover's Quarrel with the World,Shirley Clarke,3,0
Mysterium,Shirley Clarke,1,1
Ornette: Made in America,Shirley Clarke,22,3
The Cool World,Shirley Clarke,37,10
Portrait of Jason,Shirley Clarke,2,1
Brothers,Susanne Bier,29,7
Credo,Susanne Bier,11,18
Alphaville: Summer Rain,Susanne Bier,1,0
Freud Leaving Home,Susanne Bier,11,9
Open Hearts,Susanne Bier,12,10
Bird Box,Susanne Bier,29,19
Like It Never Was Before,Susanne Bier,11,7
After the Wedding,Susanne Bier,20,14
A Second Chance,Susanne Bier,32,18
Letter to Jonas,Susanne Bier,4,3
In a Better World,Susanne Bier,26,19
The Night Manager,Susanne Bier,34,16
Things We Lost in the Fire,Susanne Bier,22,16
Once in a Lifetime,Susanne Bier,37,25
Songlines,Susanne Bier,9,7
The One and Only,Susanne Bier,9,13
The Undoing,Susanne Bier,27,23
Serena,Susanne Bier,37,11
Family Matters,Susanne Bier,8,13
Love Is All You Need,Susanne Bier,12,16
Toward Mathilde,Claire Denis,0,1
"We, France's Undocumented Immigrants",Claire Denis,0,1
The Breidjing Camp,Claire Denis,0,1
Vive les courts metrages: Agnès Varda présente les siens en DVD,Agnes Varda,0,1
Un salut à Henri Langlois,Agnes Varda,0,1
Homage to Zgougou the Cat,Agnes Varda,0,1
Women Reply,Agnes Varda,0,4
Viennale Walzer,Agnes Varda,0,1
"Ydessa, the Bears and etc.",Agnes Varda,0,1
"You've Got Beautiful Stairs, You Know",Agnes Varda,0,2
La petite histoire de Gwen la bretonne,Agnes Varda,0,2
The Story of an Old Lady,Agnes Varda,0,2
"O saisons, ô châteaux",Agnes Varda,0,1
The So-called Caryatids,Agnes Varda,0,1
Bearing Witness,Barbara Kopple,0,5
Confident for Life: Kids & Body Image,Barbara Kopple,0,1
The D.C. Sniper's Wife: A Barbara Kopple Film,Barbara Kopple,0,1
A Century of Women,Barbara Kopple,0,38
Defending Our Daughters: The Rights of Women in the World,Barbara Kopple,0,1
High School Musical: The Music in You,Barbara Kopple,0,2
Down There,Chantal Akerman,0,1
À l'Est avec Sonia Wieder-Atherton,Chantal Akerman,0,1
"J'ai faim, j'ai froid",Chantal Akerman,0,2
Family Business: Chantal Akerman Speaks About Film,Chantal Akerman,0,3
News from Home,Chantal Akerman,0,1
Lettre d'un cinéaste: Chantal Akerman,Chantal Akerman,0,2
No Home Movie,Chantal Akerman,0,3
Letters Home,Chantal Akerman,0,2
From the East,Chantal Akerman,0,1
Tell Me,Chantal Akerman,0,1
Les trois dernières sonates de Franz Schubert,Chantal Akerman,0,1
On Tour with Pina Bausch,Chantal Akerman,0,2
Daughters,Chloe Zhao,0,1
Early Women Filmmakers,Dorothy Arzner,0,3
Four Women,Julie Dash,0,1
Tracy Chapman: Give Me One Reason,Julie Dash,0,1
Diary of an African Nun,Julie Dash,0,4
A Japanese Idyll,Lois Weber,0,1
Mum's the Word,Lois Weber,0,1
The Dance of Love,Lois Weber,0,1
Brigitte,Lynne Ramsay,0,2
Women Without Men,Penny Marshall,0,7
Medusa,Maya Deren,0,1
Dior: Miss Dior Blooming Bouquet,Sofia Coppola,0,1
Dior: Miss Dior Cherie,Sofia Coppola,0,1
The Door,Ava DuVernay,0,5
Si je reste,Catherine Breillat,0,1
La fidélité,Catherine Breillat,0,1
"Les 18 du 57, Boulevard de Strasbourg",Céline Sciamma,0,2
Pauline,Céline Sciamma,0,2
She Don't Fade,Cheryl Dunye,0,3
Vanilla Sex,Cheryl Dunye,0,1
Greetings from Africa,Cheryl Dunye,0,4
Angel on My Shoulder,Donna Deitch,0,2
"Aimé Césaire, une voix pour l'histoire",Euzhan Palcy,0,1
Not Fourteen Again,Gillian Armstrong,0,3
"Bingo, Bridesmaids & Braces",Gillian Armstrong,0,4
"Fourteens Good, Eighteens Better",Gillian Armstrong,0,3
"Love, Lust & Lies",Gillian Armstrong,0,3
Smokes & Lollies,Gillian Armstrong,0,3
One Hundred a Day,Gillian Armstrong,0,7
Hotheads,Jennie Livingston,0,2
Souvenir,Lisa Cholodenko,0,3
Julieta Laso: Fantasmas,Lucrecia Martel,0,3
Muta,Lucrecia Martel,0,9
La ciudad que huye,Lucrecia Martel,0,2
Pescados,Lucrecia Martel,0,1
Surpêche,Mélanie Laurent,0,1
La Clave,Patricia Cardoso,0,2
Women Filmmakers in Russia,Sally Potter,0,5
All I Want for Christmas,Sarah Polley,0,2
Seeing Red,Su Friendrich,0,1
Rules of the Road,Su Friendrich,0,1
Sink or Swim,Su Friendrich,0,1
The Fourth Dimension,Trinh T. Minh-ha,0,1
Naked Spaces: Living Is Round,Trinh T. Minh-ha,0,3
Professor Norman Cornett,Alanis Obomsawin,0,1
We Can't Make the Same Mistake Twice,Alanis Obomsawin,0,1
Mother of Many Children,Alanis Obomsawin,0,1
Evidentiary Bodies,Barbara Hammer,0,1
Out in South Africa,Barbara Hammer,0,1
Tender Fictions,Barbara Hammer,0,1
Dyketactics,Barbara Hammer,0,1
Maya Deren's Sink,Barbara Hammer,0,1
Sisters!,Barbara Hammer,0,1
Multiple Orgasm,Barbara Hammer,0,1
The Female Closet,Barbara Hammer,0,4
Jane Brakhage,Barbara Hammer,0,1
Welcome to this House,Barbara Hammer,0,5
Pools,Barbara Hammer,0,2
Double Strength,Barbara Hammer,0,1
The Other Half of the Sky: A China Memoir,Claudia Weill,0,1
The Fur Coat Club,Joan Micklin Silver,0,2
Bullfight,Shirley Clarke,0,1
