actor,film,gender
Tessa Beaumont,New Reports from France,f
Bernard Buffet,New Reports from France (1972-1973),m
Bernard Buffet,New Reports from France,
Geraldine Chaplin,New Reports from France (1972-1973),f
Geraldine Chaplin,New Reports from France,f
Geraldine Chaplin,Télévision de chambre,f
Geraldine Chaplin,Electric Dreams,f
Maurice Chevalier,New Reports from France (1972-1973),m
Maurice Chevalier,New Reports from France,m
Maurice Chevalier,Paramount on Parade,m
Maurice Chevalier,To Each His Own Cinema,m
Salvador Dalí,New Reports from France (1972-1973),m
Salvador Dalí,New Reports from France,m
Louis de Funès,New Reports from France (1972-1973),m
Louis de Funès,New Reports from France,m
Georges Goviloff,New Reports from France (1972-1973),m
Georges Goviloff,New Reports from France,
Pierre Vaneck,New Reports from France (1972-1973),m
Pierre Vaneck,New Reports from France,m
Manuel Benítez 'El Cordobés',New Reports from France (1972-1973),m
Manuel Benítez 'El Cordobés',New Reports from France,m
Antoine Bourseiller,New Reports from France (1972-1973),m
Antoine Bourseiller,Cléo from 5 to 7: Remembrances and Anecdotes,m
Antoine Bourseiller,Cleo from 5 to 7,m
Antoine Bourseiller,Diary of a Pregnant Woman,m
Antoine Bourseiller,The Beaches of Agnès,m
Antoine Bourseiller,New Reports from France,m
René Clément,New Reports from France (1972-1973),m
René Clément,New Reports from France,m
Jane Fonda,New Reports from France (1972-1973),f
Jane Fonda,New Reports from France,f
Jane Fonda,A Century of Women,f
Jane Fonda,Women He's Undressed,f
Eugène Ionesco,New Reports from France (1972-1973),m
Eugène Ionesco,New Reports from France,m
Philippe Labro,New Reports from France (1972-1973),m
Philippe Labro,New Reports from France,m
Nicolas Schoeffer,New Reports from France (1972-1973),m
Nicolas Schoeffer,New Reports from France,
Jacques Simon,New Reports from France (1972-1973),m
Jacques Simon,New Reports from France,
Roger Vadim,New Reports from France (1972-1973),m
Roger Vadim,New Reports from France,m
Guillaume Apollinaire,New Reports from France (1972-1973),m
Guillaume Apollinaire,New Reports from France,
Jacqueline Auriol,New Reports from France (1972-1973),f
Jacqueline Auriol,New Reports from France,f
Alice Houri,Tous les garçons et les filles de leur âge...,f
Alice Houri,Nenette and Boni,f
Alice Houri,Trouble Every Day,f
Claire Keim,Tous les garçons et les filles de leur âge...,f
Claire Keim,Breathe,f
Jessica Tharaud,Tous les garçons et les filles de leur âge...,f
Jessica Tharaud,Nenette and Boni,f
Michèle Moretti,Tous les garçons et les filles de leur âge...,f
Michèle Moretti,Télévision de chambre,f
François Jandin,Tous les garçons et les filles de leur âge...,m
François Jandin,Nenette and Boni,m
Antoine Chappey,Tous les garçons et les filles de leur âge...,m
Antoine Chappey,I Can't Sleep,m
Antoine Chappey,To Each His Own Cinema,m
Lionel Goldstein,Tous les garçons et les filles de leur âge...,m
Lionel Goldstein,Friday Night,m
Lionel Goldstein,Trouble Every Day,m
Lionel Goldstein,I Can't Sleep,m
Valeria Bruni Tedeschi,Nenette and Boni,f
Valeria Bruni Tedeschi,Let the Sunshine In,f
Daniel Isoppo,Nenette and Boni,m
Daniel Isoppo,I Can't Sleep,m
Jean-Paul Bonnaire,Nenette and Boni,m
Jean-Paul Bonnaire,I Can't Sleep,m
Richard Courcet,Nenette and Boni,m
Richard Courcet,Beau travail,m
Richard Courcet,I Can't Sleep,m
Micha Lescot,Nenette and Boni,m
Micha Lescot,Friday Night,m
Nicolas Duvauchelle,White Material,m
Nicolas Duvauchelle,Beau travail,m
Nicolas Duvauchelle,Let the Sunshine In,m
Nicolas Duvauchelle,Trouble Every Day,m
William Nadylam,White Material,m
William Nadylam,The Brides of Bourbon Island,m
Adèle Ado,White Material,f
Adèle Ado,35 Shots of Rum,f
Thomas Dumerchez,White Material,m
Thomas Dumerchez,"Paris, je t'aime",m
Vincent Lindon,Bastards,m
Vincent Lindon,Friday Night,m
Chiara Mastroianni,Bastards,f
Chiara Mastroianni,Persepolis,f
Chiara Mastroianni,Chicken With Plums,f
Julie Bataille,Bastards,f
Julie Bataille,"Paris, je t'aime",f
Lola Créton,Bastards,f
Lola Créton,Bluebeard,f
Lola Créton,Venice 70: Future Reloaded,f
Hélène Fillières,Bastards,f
Hélène Fillières,Friday Night,f
Hélène Fillières,X Femmes,f
Nicole Dogué,Bastards,f
Nicole Dogué,35 Shots of Rum,f
Claire Tran,Bastards,f
Claire Tran,Let the Sunshine In,f
Claire Tran,High Life,f
Jeanne Disson,Bastards,f
Jeanne Disson,Tomboy,f
Laurent Grévill,Bastards,m
Laurent Grévill,Let the Sunshine In,m
Laurent Grévill,I Can't Sleep,m
Eriq Ebouaney,35 Shots of Rum,m
Eriq Ebouaney,The Nativity Story,m
Gianfranco Poddighe,Friday Night,m
Gianfranco Poddighe,Beau travail,m
Mona Lisa,Beau travail,f
Mona Lisa,Too Wise Wives,f
Jean-Quentin Châtelain,Chocolat,m
Jean-Quentin Châtelain,I Can't Sleep,m
Didier Flamand,Chocolat,m
Didier Flamand,I Can't Sleep,m
Didier Flamand,Chicken With Plums,m
Juliette Binoche,Let the Sunshine In,f
Juliette Binoche,High Life,f
Juliette Binoche,A Couch in New York,f
Juliette Binoche,"Paris, je t'aime",f
Bruno Podalydès,Let the Sunshine In,m
Bruno Podalydès,"Paris, je t'aime",m
Gérard Depardieu,Let the Sunshine In,m
Gérard Depardieu,One Hundred and One Nights,m
Gérard Depardieu,Nausicaa,m
Gérard Depardieu,The Beaches of Agnès,m
Gérard Depardieu,Parcours de dissidents,m
Gérard Depardieu,"Paris, je t'aime",m
Walid Afkir,Let the Sunshine In,m
Walid Afkir,"Paris, je t'aime",m
Dani,Monologues,f
Dani,I Can't Sleep,f
Hanna Schygulla,Monologues,f
Hanna Schygulla,One Hundred and One Nights,f
Roland Amstutz,Monologues,m
Roland Amstutz,Dirty Like an Angel,m
Raphaël Neal,Trouble Every Day,m
Raphaël Neal,Marie Antoinette,m
Hélène Lapiower,Trouble Every Day,f
Hélène Lapiower,Les années 80,f
Aurore Clément,Trouble Every Day,f
Aurore Clément,Tomorrow We Move,f
Aurore Clément,The Captive,f
Aurore Clément,Les années 80,f
Aurore Clément,Family Business: Chantal Akerman Speaks About Film,f
Aurore Clément,Lettre d'un cinéaste: Chantal Akerman,f
Aurore Clément,Toute une nuit,f
Aurore Clément,The Meetings of Anna,f
Aurore Clément,Marie Antoinette,f
Robert Pattinson,High Life,m
Robert Pattinson,Vanity Fair,m
Robert Pattinson,Twilight,m
André Benjamin,High Life,m
André Benjamin,American Crime,m
Agata Buzek,High Life,f
Agata Buzek,Within the Whirlwind,f
Serge Abattucci,I Can't Sleep,m
Serge Abattucci,Sugar Cane Alley,m
Jay Hernandez,Six Degrees,m
Jay Hernandez,Gang Related,m
Bridget Moynahan,Six Degrees,f
Bridget Moynahan,Sex and the City,f
Bridget Moynahan,Sex and the City (1999-2000),f
Bridget Moynahan,Sex and the City (1998-2000),f
Erika Christensen,Six Degrees,f
Erika Christensen,Nothing Sacred,f
Dorian Missick,Six Degrees,m
Dorian Missick,Luke Cage,m
Dorian Missick,Southland (2011-2012),m
Hope Davis,Six Degrees,f
Hope Davis,The Miraculous Year,f
Hope Davis,American Crime,f
M. Xavier O'Connor,Six Degrees,m
M. Xavier O'Connor,Black Nativity,m
Shiri Appleby,Six Degrees,f
Shiri Appleby,Fear Itself,f
Shiri Appleby,Havoc,f
Shiri Appleby,Girls,f
Samantha Buck,Six Degrees,f
Samantha Buck,Stella,f
Samantha Buck,Private Life,f
Jill Flint,Six Degrees,f
Jill Flint,The Night Shift,f
Dennis Boutsikaris,Six Degrees,m
Dennis Boutsikaris,Related,m
Caroline Lagerfelt,Six Degrees,f
Caroline Lagerfelt,Gossip Girl,f
Josh Charles,Six Degrees,m
Josh Charles,Sonnet for a Towncar,m
Josh Charles,Masters of Sex,m
Josh Charles,Stella,m
Josh Charles,Inside Amy Schumer,m
Josh Charles,Unbreakable Kimmy Schmidt,m
Neal Huff,Six Degrees,m
Neal Huff,Meek's Cutoff,m
John Ventimiglia,Six Degrees,m
John Ventimiglia,I Shot Andy Warhol,m
John Ventimiglia,The Notorious Bettie Page,m
John Ventimiglia,C-16: FBI,m
Robert John Burke,Six Degrees,m
Robert John Burke,Gossip Girl,m
Robert John Burke,Army Wives,m
Robert John Burke,Law & Order: Special Victims Unit (2002-2011),m
Robert John Burke,Sex and the City,m
Robert John Burke,Sex and the City (1999-2000),m
Robert John Burke,Rambling Rose,m
Robert John Burke,Sex and the City (1998-2000),m
Sebastian Sozzi,Six Degrees,m
Sebastian Sozzi,In the Cut,m
Sebastian Sozzi,All Rise (2019-2020),m
Sebastian Sozzi,All Rise,m
Cathleen Trigg,Six Degrees,f
Cathleen Trigg,Eye Candy,f
Sarah Vowell,Six Degrees,f
Sarah Vowell,Please Give,f
Yin Chang,Six Degrees,f
Yin Chang,Gossip Girl,f
Mark La Mura,Six Degrees,m
Mark La Mura,Bernice Bobs Her Hair,m
Jeffrey Mowery,Six Degrees,m
Jeffrey Mowery,We Need to Talk About Kevin,m
Tijuana Ricks,Six Degrees,f
Tijuana Ricks,Red Oaks (2015-2017),f
Tijuana Ricks,A Gifted Man,f
Tijuana Ricks,Billions (2016-2017),f
Tijuana Ricks,Luke Cage,f
Tijuana Ricks,The Savages,f
Robert Clohessy,Six Degrees,m
Robert Clohessy,Oz,m
Jenna Stern,Six Degrees,f
Jenna Stern,Law & Order: Special Victims Unit (2002-2011),f
Jennifer Beals,The L Word,f
Jennifer Beals,Nothing Sacred,f
Jennifer Beals,Proof,f
Jennifer Beals,Four Rooms,f
Jennifer Beals,The Night Shift,f
Leisha Hailey,The L Word,f
Leisha Hailey,Constantine,f
Pam Grier,The L Word,f
Pam Grier,Holy Smoke,f
Erin Daniels,The L Word,f
Erin Daniels,The Bling Ring,f
Sarah Shahi,The L Word,f
Sarah Shahi,Chicago Fire,f
Dallas Roberts,The L Word,m
Dallas Roberts,The Notorious Bettie Page,m
Dallas Roberts,American Crime,m
Cybill Shepherd,The L Word,f
Cybill Shepherd,The Heartbreak Kid,f
Cybill Shepherd,Psych,f
Eric Mabius,The L Word,m
Eric Mabius,I Shot Andy Warhol,m
Jane Lynch,The L Word,f
Jane Lynch,Space Force,f
Kate French,The L Word,f
Kate French,South of Nowhere,f
Janina Gavankar,The L Word,f
Janina Gavankar,Space Force,f
Malaya Rivera Drew,The L Word,f
Malaya Rivera Drew,Mayans M.C.,f
Eric Lively,The L Word,m
Eric Lively,The Nine,m
Holland Taylor,The L Word,f
Holland Taylor,CBS Summer Playhouse,f
Holland Taylor,Cold Feet,f
Steven Eckholdt,The L Word,m
Steven Eckholdt,WIOU,m
Elizabeth Keener,The L Word,f
Elizabeth Keener,Please Give,f
Elizabeth Keener,Friends with Money,f
Daryl Shuttleworth,The L Word,m
Daryl Shuttleworth,Men in Trees,m
Alan Cumming,The L Word,m
Alan Cumming,Loser,m
Alan Cumming,The Electric Company (2009-2010),m
Alan Cumming,Briarpatch,m
Alan Cumming,It's Complicated,m
Roger Cross,The L Word,m
Roger Cross,Eureka,m
Agnes Bruckner,Anna Nicole,f
Agnes Bruckner,Private Practice (2009-2010),f
Adam Goldberg,Anna Nicole,m
Adam Goldberg,The $treet (2000-2001),m
Adam Goldberg,Graves,m
Cary Elwes,Anna Nicole,m
Cary Elwes,Psych,m
Virginia Madsen,Anna Nicole,f
Virginia Madsen,The Hot Flashes,f
Virginia Madsen,Red Riding Hood,f
Caleb Barwick,Anna Nicole,m
Caleb Barwick,Army Wives,m
David Dwyer,Anna Nicole,m
David Dwyer,Selma,m
Al Vicente,Anna Nicole,m
Al Vicente,Game of Silence,m
Jay Huguley,Anna Nicole,m
Jay Huguley,Women: Stories of Passion,m
Vickie Eng,Anna Nicole,f
Vickie Eng,Greenleaf,f
Vickie Eng,The Outsider,f
Vickie Eng,Drop Dead Diva,f
Joe Knezevich,Anna Nicole,m
Joe Knezevich,Bessie,m
David Kronawitter,Anna Nicole,m
David Kronawitter,Drop Dead Diva,m
Donny Boaz,Anna Nicole,m
Donny Boaz,Six (2017-2018),m
Bonnie Johnson,Anna Nicole,f
Bonnie Johnson,The Prince of Tides,f
Bonnie Johnson,Ode,f
King,Anna Nicole,m
King,The Reluctant Fundamentalist,m
King,Selma,m
Trey McGriff,Anna Nicole,m
Trey McGriff,Bessie,m
Trey McGriff,Ring of Fire,m
Joel Rogers,Anna Nicole,m
Joel Rogers,The Reluctant Fundamentalist,m
Joel Rogers,Ring of Fire,m
Josh Turner,Anna Nicole,m
Josh Turner,Twilight,m
Bill Paxton,Big Love,m
Bill Paxton,Near Dark,m
Jeanne Tripplehorn,Big Love,f
Jeanne Tripplehorn,Five,f
Chloë Sevigny,Big Love,f
Chloë Sevigny,American Psycho,f
Chloë Sevigny,42 One Dream Rush,f
Chloë Sevigny,If These Walls Could Talk 2,f
Ginnifer Goodwin,Big Love,f
Ginnifer Goodwin,Five,f
Douglas Smith,Big Love,m
Douglas Smith,When We Rise,m
Matt Ross,Big Love,m
Matt Ross,American Psycho,m
Matt Ross,Ring of Fire,m
Joel McKinnon Miller,Big Love,m
Joel McKinnon Miller,"Push, Nevada",m
Amanda Seyfried,Big Love,f
Amanda Seyfried,Jennifer's Body,f
Amanda Seyfried,Red Riding Hood,f
Melora Walters,Big Love,f
Melora Walters,Rake,f
Melora Walters,"Push, Nevada",f
Melora Walters,L.A. Doctors,f
Mary Kay Place,Big Love,f
Mary Kay Place,My So-Called Life,f
Mary Kay Place,Leap Years,f
Mary Kay Place,The Intern,f
Mary Kay Place,It's Complicated,f
Mary Kay Place,Bored to Death,f
Harry Dean Stanton,Big Love,m
Harry Dean Stanton,One Hundred and One Nights,m
Harry Dean Stanton,The Man Who Cried,m
Daveigh Chase,Big Love,f
Daveigh Chase,Carolina,f
Bruce Dern,Big Love,m
Bruce Dern,Monster,m
Bruce Dern,The Fugitive (1963-1964),m
Bruce Dern,Trenchcoat in Paradise,m
Tina Majorino,Big Love,f
Tina Majorino,Grey's Anatomy,f
Tina Majorino,Bones,f
Gavin Kent,Big Love,m
Gavin Kent,Weeds,m
Ethan Kent,Big Love,m
Ethan Kent,Weeds,m
Audrey Wasilewski,Big Love,f
Audrey Wasilewski,Carolina,f
Audrey Wasilewski,Something's Gotta Give,f
Audrey Wasilewski,What Women Want,f
Wendy Phillips,Big Love,f
Wendy Phillips,Friends with Money,f
Branka Katic,Big Love,f
Branka Katic,The Roads Not Taken,f
Carlos Jacott,Big Love,m
Carlos Jacott,Psych,m
Judith Hoag,Big Love,f
Judith Hoag,Nothing Sacred,f
Judith Hoag,Off the Map,f
Zeljko Ivanek,Big Love,m
Zeljko Ivanek,Oz,m
Zeljko Ivanek,Homicide: Life on the Street (1997-1999),m
Zeljko Ivanek,Homicide: Life on the Street (1998-1999),m
Zeljko Ivanek,C-16: FBI,m
Zeljko Ivanek,Total Security,m
Zeljko Ivanek,Heroes,m
Zeljko Ivanek,Homicide: Life on the Street,m
Zeljko Ivanek,Madam Secretary,m
Zeljko Ivanek,Shark,m
Charles Esten,Big Love,m
Charles Esten,The Office,m
Charles Esten,Enlightened (2011-2013),m
Robert Beltran,Big Love,m
Robert Beltran,Veronica Clare,m
Sandy Martin,Big Love,f
Sandy Martin,Stranger Inside,f
Sandy Martin,Prison Stories: Women on the Inside,f
Sandy Martin,Real Genius,f
Gregory Itzin,Big Love,m
Gregory Itzin,C-16: FBI,m
Gregory Itzin,Murder One (1995-1997),m
Gregory Itzin,What's Cooking?,m
Gregory Itzin,The Mentalist,m
Gregory Itzin,Caroline in the City,m
Adam Beach,Big Love,m
Adam Beach,Law & Order: Special Victims Unit (2002-2011),m
Sarah Jones,Big Love,f
Sarah Jones,Huff,f
Christian Campbell,Big Love,m
Christian Campbell,The $treet (2000-2001),m
Steve Bacic,Big Love,m
Steve Bacic,Cold Feet,m
Lyndsy Fonseca,Big Love,f
Lyndsy Fonseca,Five,f
Kyle Gallner,Big Love,m
Kyle Gallner,Jennifer's Body,m
Hannah Murray,Charlie Says,f
Hannah Murray,The Expecting,f
Hannah Murray,Detroit,f
Sosie Bacon,Charlie Says,f
Sosie Bacon,Here and Now,f
Merritt Wever,Charlie Says,f
Merritt Wever,Unbelievable,f
Chace Crawford,Charlie Says,m
Chace Crawford,Gossip Girl,m
Chace Crawford,Casual,m
Annabeth Gish,Charlie Says,f
Annabeth Gish,Halt and Catch Fire (2014-2017),f
Annabeth Gish,Halt and Catch Fire (2015-2016),f
Annabeth Gish,An American Girl: Chrissa Stands Strong,f
Kayli Carter,Charlie Says,f
Kayli Carter,Private Life,f
Grace Van Dien,Charlie Says,f
Grace Van Dien,The Village,f
Dillon Lane,Charlie Says,m
Dillon Lane,Here and Now,m
Christopher Gerse,Charlie Says,m
Christopher Gerse,Hidden Hills,m
Sol Rodriguez,Charlie Says,f
Sol Rodriguez,Party of Five,f
Ernie Hudson,Oz,m
Ernie Hudson,Wild Palms,m
Ernie Hudson,Deep Blue Breath,m
Ernie Hudson,Graves,m
Ernie Hudson,Joy of Sex,m
Ernie Hudson,Winners,m
J.K. Simmons,Oz,m
J.K. Simmons,Jennifer's Body,m
J.K. Simmons,The Black Ghiandola,m
Dean Winters,Oz,m
Dean Winters,Law & Order: Special Victims Unit (2002-2011),m
Terry Kinney,Oz,m
Terry Kinney,Electric Dreams,m
Terry Kinney,Billions (2016-2017),m
Terry Kinney,The Mentalist,m
Terry Kinney,Critical Choices,m
Terry Kinney,Thirtysomething (1987-1989),m
Rita Moreno,Oz,f
Rita Moreno,Slums of Beverly Hills,f
Rita Moreno,Climax!,f
Harold Perrineau,Oz,m
Harold Perrineau,Constantine,m
Harold Perrineau,Zero Dark Thirty,m
Harold Perrineau,The Matrix: Path of Neo,m
Harold Perrineau,Enter the Matrix,m
Harold Perrineau,The Matrix Reloaded,m
Harold Perrineau,The Matrix Revolutions,m
Harold Perrineau,The Matrix Online,m
Harold Perrineau,Star,m
Harold Perrineau,Claws,m
Eamonn Walker,Oz,m
Eamonn Walker,Chicago Fire,m
Luna Lauren Velez,Oz,f
Luna Lauren Velez,Dragnet,f
Granville Adams,Oz,m
Granville Adams,Homicide: Life on the Street (1997-1999),m
Granville Adams,Homicide: Life on the Street (1998-1999),m
Granville Adams,Homicide: Life on the Street,m
BD Wong,Oz,m
BD Wong,Law & Order: Special Victims Unit (2002-2011),m
BD Wong,Bird Box,m
Christopher Meloni,Oz,m
Christopher Meloni,Bound,m
Christopher Meloni,Law & Order: Special Victims Unit (2002-2011),m
Christopher Meloni,Pose,m
Christopher Meloni,The Diary of a Teenage Girl,m
Kristin Rohde,Oz,f
Kristin Rohde,Homicide: Life on the Street (1997-1999),f
Kristin Rohde,Homicide: Life on the Street (1998-1999),f
Kristin Rohde,Homicide: Life on the Street,f
David Zayas,Oz,m
David Zayas,The Savages,m
Edie Falco,Oz,f
Edie Falco,Independent Lens,f
Edie Falco,The Land of Steady Habits,f
Betty Buckley,Oz,f
Betty Buckley,Critical Choices,f
Kathryn Erbe,Oz,f
Kathryn Erbe,Pose,f
Peter Benson,Oz,m
Peter Benson,Proof,m
Peter Benson,Hell on Wheels,m
Philip Casnoff,Oz,m
Philip Casnoff,Material Girls,m
Philip Casnoff,One Mississippi (2015-2016),m
John Lurie,Oz,m
John Lurie,Desperately Seeking Susan,m
Luis Guzmán,Oz,m
Luis Guzmán,"Seven Women, Seven Sins",m
Ellen McElduff,Oz,f
Ellen McElduff,Homicide: Life on the Street (1997-1999),f
Ellen McElduff,Homicide: Life on the Street (1998-1999),f
Ellen McElduff,Homicide: Life on the Street,f
Lourdes Benedicto,The Nine,f
Lourdes Benedicto,NYPD Blue (1995-2003),f
Jessica Collins,The Nine,f
Jessica Collins,Zero Dark Thirty,f
Jessica Collins,Robin's Hoods,f
Jessica Collins,The Ranch,f
Tim Daly,The Nine,m
Tim Daly,Private Practice (2009-2010),m
Tim Daly,Madam Secretary,m
Camille Guaty,The Nine,f
Camille Guaty,Fear Itself,f
Kim Raver,The Nine,f
Kim Raver,Grey's Anatomy,f
Scott Wolf,The Nine,m
Scott Wolf,The Night Shift,m
Owain Yeoman,The Nine,m
Owain Yeoman,Emergence,m
Owain Yeoman,The Mentalist,m
Owain Yeoman,TURN: Washington's Spies,m
Jeffrey Pierce,The Nine,m
Jeffrey Pierce,Fear Itself,m
Jeffrey Pierce,Drop Dead Diva,m
April Grace,The Nine,f
April Grace,Karen Sisco,f
April Grace,Angie,f
Jamie McShane,The Nine,m
Jamie McShane,Southland (2011-2012),m
Jamie McShane,Murder in the First (2014-2016),m
Lillian Hurst,The Nine,f
Lillian Hurst,Cracking Up,f
Veronica Cartwright,The Nine,f
Veronica Cartwright,Daniel Boone,f
Veronica Cartwright,Bernice Bobs Her Hair,f
Zach Grenier,The Nine,m
Zach Grenier,C-16: FBI,m
Abby Miller,The Nine,f
Abby Miller,Proof,f
Todd Sherry,The Nine,m
Todd Sherry,Suburgatory,m
Joshua Malina,The Nine,m
Joshua Malina,Scandal,m
JoBeth Williams,The Nine,f
JoBeth Williams,Private Practice (2009-2010),f
JoBeth Williams,The Ponder Heart,f
Bertila Damas,The Nine,f
Bertila Damas,Fires Within,f
Bertila Damas,Mi vida loca,f
Margot Rose,The Nine,f
Margot Rose,Grosse Pointe,f
John Pleshette,The Nine,m
John Pleshette,Murder One (1995-1997),m
John Pleshette,Murder One: Diary of a Serial Killer,m
Wendy Makkena,The Nine,f
Wendy Makkena,Judging Amy,f
Wendy Makkena,Dellaventura,f
Wendy Makkena,A Beautiful Day in the Neighborhood,f
Alex Fernandez,The Nine,m
Alex Fernandez,Off the Map,m
Alex Fernandez,Killer Women,m
Alex Fernandez,Shark,m
Andy Forrest,The Nine,m
Andy Forrest,Parks and Recreation (2011-2013),m
Jill Remez,The Nine,f
Jill Remez,Moloney,f
Paul Schulze,The Nine,m
Paul Schulze,Dellaventura,m
Conor O'Farrell,The Nine,m
Conor O'Farrell,Early Edition,m
Conor O'Farrell,Gang Related,m
Conor O'Farrell,Game of Silence,m
Lili Taylor,I Shot Andy Warhol,f
Lili Taylor,Six Feet Under,f
Lili Taylor,The Notorious Bettie Page,f
Lili Taylor,SUBWAYStories: Tales from the Underground,f
Lili Taylor,Gaudi Afternoon,f
Lili Taylor,Four Rooms,f
Lili Taylor,American Crime,f
Lili Taylor,Six Feet Under (2003-2004),f
Jared Harris,I Shot Andy Warhol,m
Jared Harris,The Notorious Bettie Page,m
Jared Harris,Certain Women,m
Martha Plimpton,I Shot Andy Warhol,f
Martha Plimpton,Karen Sisco,f
Martha Plimpton,Frozen II,f
Anna Thomson,I Shot Andy Warhol,f
Anna Thomson,The Tracey Ullman Show,f
Anna Thomson,Desperately Seeking Susan,f
Peter Friedman,I Shot Andy Warhol,m
Peter Friedman,Power and Beauty,m
Peter Friedman,The Savages,m
Peter Friedman,Finnegan Begin Again,m
Peter Friedman,In the Presence of Mine Enemies,m
Donovan Leitch Jr.,I Shot Andy Warhol,m
Donovan Leitch Jr.,"Bed, Bath and Beyond",m
Donovan Leitch Jr.,Gas Food Lodging,m
Donovan Leitch Jr.,Girls Club,m
Michael Imperioli,I Shot Andy Warhol,m
Michael Imperioli,My Baby's Daddy,m
Michael Imperioli,Disappearing Acts,m
Reg Rogers,I Shot Andy Warhol,m
Reg Rogers,TURN: Washington's Spies,m
Reg Rogers,Hell on Wheels,m
Bill Sage,I Shot Andy Warhol,m
Bill Sage,American Psycho,m
Bill Sage,The Perez Family,m
Bill Sage,High Art,m
Jill Hennessy,I Shot Andy Warhol,f
Jill Hennessy,Crossing Jordan (2001-2007),f
Jill Hennessy,Shots Fired,f
Jill Hennessy,Madam Secretary,f
Lynn Cohen,I Shot Andy Warhol,f
Lynn Cohen,Sex and the City,f
Lynn Cohen,Sex and the City (1999-2000),f
Lynn Cohen,Sex and the City (1998-2000),f
Lynn Cohen,Walking and Talking,f
Stephen Dorff,I Shot Andy Warhol,m
Stephen Dorff,One Hundred and One Nights,m
Stephen Dorff,Somewhere,m
Stephen Dorff,Star,m
Stephen Dorff,I'll Find You,m
Anh Duong,I Shot Andy Warhol,f
Anh Duong,High Art,f
Anh Duong,Appropriate Behavior,f
Christina McKay,I Shot Andy Warhol,f
Christina McKay,American Psycho,f
Mark Margolis,I Shot Andy Warhol,m
Mark Margolis,Constantine,m
Mark Margolis,Now and Again,m
Faith Geer,I Shot Andy Warhol,f
Faith Geer,Blue Steel,f
Gabriel Mann,I Shot Andy Warhol,m
Gabriel Mann,High Art,m
Gabriel Mann,Things Behind the Sun,m
Fenton Lawless,I Shot Andy Warhol,m
Fenton Lawless,Private Life,m
Laura Ekstrand,I Shot Andy Warhol,f
Laura Ekstrand,High Art,f
Michelle Hurst,I Shot Andy Warhol,f
Michelle Hurst,In the Cut,f
Justin Theroux,I Shot Andy Warhol,m
Justin Theroux,Six Feet Under,m
Justin Theroux,American Psycho,m
Justin Theroux,Sex and the City,m
Justin Theroux,Sex and the City (1999-2000),m
Justin Theroux,Sex and the City (1998-2000),m
Justin Theroux,Six Feet Under (2003-2004),m
Isabel Gillies,I Shot Andy Warhol,f
Isabel Gillies,The $treet (2000-2001),f
Isabel Gillies,Law & Order: Special Victims Unit (2002-2011),f
Steve Itkin,I Shot Andy Warhol,m
Steve Itkin,Gaudi Afternoon,m
Anna Grace,I Shot Andy Warhol,f
Anna Grace,Boys Don't Cry,f
Daniel Haughey,I Shot Andy Warhol,m
Daniel Haughey,The Notorious Bettie Page,m
Rebecca Kramer,I Shot Andy Warhol,f
Rebecca Kramer,The Mirror Has Two Faces,f
Marshall Dancing Elk Lucas,I Shot Andy Warhol,m
Marshall Dancing Elk Lucas,The Mirror Has Two Faces,m
Bruce Smolanoff,I Shot Andy Warhol,m
Bruce Smolanoff,SUBWAYStories: Tales from the Underground,m
Peter Krause,Six Feet Under,m
Peter Krause,Six Feet Under (2003-2004),m
Michael C. Hall,Six Feet Under,m
Michael C. Hall,Six Feet Under (2003-2004),m
Frances Conroy,Six Feet Under,f
Frances Conroy,United States of Tara (2010-2011),f
Frances Conroy,Casual,f
Frances Conroy,Arrested Development,f
Frances Conroy,Ring of Fire,f
Frances Conroy,Six Feet Under (2003-2004),f
Lauren Ambrose,Six Feet Under,f
Lauren Ambrose,Six Feet Under (2003-2004),f
Freddy Rodríguez,Six Feet Under,m
Freddy Rodríguez,Havoc,m
Freddy Rodríguez,The Night Shift,m
Freddy Rodríguez,Six Feet Under (2003-2004),m
Mathew St. Patrick,Six Feet Under,m
Mathew St. Patrick,Six Feet Under (2003-2004),m
Rachel Griffiths,Six Feet Under,f
Rachel Griffiths,When We Rise,f
Rachel Griffiths,Six Feet Under (2003-2004),f
Justina Machado,Six Feet Under,f
Justina Machado,Off the Map,f
Justina Machado,Private Practice (2009-2010),f
Justina Machado,Six Feet Under (2003-2004),f
Jeremy Sisto,Six Feet Under,m
Jeremy Sisto,Clueless,m
Jeremy Sisto,Suburgatory,m
Jeremy Sisto,Thirteen,m
Jeremy Sisto,Frozen II,m
Jeremy Sisto,Six Feet Under (2003-2004),m
Brenna Tosh,Six Feet Under,f
Brenna Tosh,Six Feet Under (2003-2004),f
Bronwyn Tosh,Six Feet Under,f
Bronwyn Tosh,Six Feet Under (2003-2004),f
James Cromwell,Six Feet Under,m
James Cromwell,Halt and Catch Fire (2014-2017),m
James Cromwell,Betrayal,m
James Cromwell,Murder in the First (2014-2016),m
James Cromwell,Halt and Catch Fire (2015-2016),m
James Cromwell,Six Feet Under (2003-2004),m
Ben Foster,Six Feet Under,m
Ben Foster,Leave No Trace,m
Ben Foster,Galveston,m
Ben Foster,Six Feet Under (2003-2004),m
Joanna Cassidy,Six Feet Under,f
Joanna Cassidy,Six Feet Under (2003-2004),f
Richard Jenkins,Six Feet Under,m
Richard Jenkins,A Couch in New York,m
