actor,film,gender
Joel Kinnaman,House of Cards (2015-2017),m
Joel Kinnaman,The Killing (2011-2012),m
Kate Mara,House of Cards (2015-2017),f
Kate Mara,Pose,f
Kate Mara,Entourage,f
Julian Gamble,House of Cards (2015-2017),m
Julian Gamble,For Justice,m
Julian Gamble,The Last Thing He Wanted,m
Lars Mikkelsen,House of Cards (2015-2017),m
Lars Mikkelsen,Nordic Factory,m
Corey Stoll,House of Cards (2015-2017),m
Corey Stoll,The Nine,m
Corey Stoll,North Country,m
Corey Stoll,Girls,m
Colm Feore,House of Cards (2015-2017),m
Colm Feore,The Caveman's Valentine,m
Patricia Clarkson,House of Cards (2015-2017),f
Patricia Clarkson,Six Feet Under,f
Patricia Clarkson,Murder One (1995-1997),f
Patricia Clarkson,High Art,f
Patricia Clarkson,Five,f
Patricia Clarkson,The Party,f
Patricia Clarkson,Six Feet Under (2003-2004),f
Zoe Saldana,Rosemary's Baby,f
Zoe Saldana,Six Degrees,f
Patrick J. Adams,Rosemary's Baby,m
Patrick J. Adams,Rage,m
Carole Bouquet,Rosemary's Baby,f
Carole Bouquet,Lest We Forget,f
Christina Cole,Rosemary's Baby,f
Christina Cole,Jupiter Ascending,f
Jason Isaacs,Rosemary's Baby,m
Jason Isaacs,Friends with Money,m
Wojciech Pszoniak,Rosemary's Baby,m
Wojciech Pszoniak,Obrazki z zycia,m
Wojciech Pszoniak,Angry Harvest,m
Wojciech Pszoniak,To Kill a Priest,m
Joseph Malerba,Rosemary's Baby,m
Joseph Malerba,Marie Antoinette,m
Agathe Anquez,Rosemary's Baby,f
Agathe Anquez,Girlhood,f
Féodor Atkine,Rosemary's Baby,m
Féodor Atkine,Télévision de chambre,m
Joe Sheridan,Rosemary's Baby,m
Joe Sheridan,Marie Antoinette,m
Marie Piémontèse,Rosemary's Baby,f
Marie Piémontèse,One Hundred and One Nights,f
Weronika Rosati,Rosemary's Baby,f
Weronika Rosati,In Darkness,f
Weronika Rosati,I'll Find You,f
